text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
text they talking about,0.029125832,0.9929279685020447,0.0,0.0,0.000834027014207,0.0004512297746259,0.0025968244299292,False
don't send him to his daddy,0.084745035,0.9786262512207031,0.0,0.0,0.0930884554982185,0.0246288944035768,0.0114372745156288,False
you just need to go file for child support,0.040971663,0.6772565841674805,0.0,0.0,0.0180959813296794,0.001360437599942,0.0008081760024651,False
bye,0.055732824,0.0,0.0,0.0,0.0059144631959497,0.0006115005235187,0.0005887948209419,False
why? why? mary? mary? what? mary? i'm a girl,0.043718524,0.0,0.0,0.0,0.0117229474708437,0.0046882620081305,0.0018036504043266,False
i think i'm just playing hum,0.0253489,0.9871773719787598,0.0,0.0,0.0063567687757313,0.0004704408347606,0.0005979129346087,False
"i'm supposed to say black or nonhispanic ninetyfive, stone mountain rdaddress4, psh, twentyone twenty",0.21804169,0.6418510675430298,0.1666666666666666,0.0,0.002176261274144,0.1638786941766739,0.527437686920166,False
"what? nah, i don't know nothing else",0.029812546,0.9461672306060791,0.0,0.189,0.0008169580250978,0.0011912425979971,0.002456926042214,False
"nah, this all i know",0.026035614,0.9996659755706787,0.0,0.259,0.0007980950758792,0.0005113351508043,0.0005465397262014,False
shut up,0.7545523,0.9582201242446899,0.0,0.0,0.945601522922516,0.9756500720977784,0.9749659299850464,False
ooh,0.024833864,0.0,0.0,0.0,0.0152247315272688,0.0007017696625553,0.0007553444593213,False
my daddy was born in where my daddy was born at,0.035477944,0.0,0.0,0.0,0.0015243479283526,0.0049724197015166,0.0033378428779542,False
my mama was born in florida,0.017076347,0.0,0.0,0.0,0.0020774770528078,0.0017993109067901,0.0011602886952459,False
"my daddy was born in decatur, atlanta, one of them think he at grady back",0.043718524,0.0,0.0,0.0,0.0006987985689193,0.0016021179035305,0.000633661809843,False
"yep, i have four brothers and two sisters",0.065721996,0.0,0.0,0.0,0.0023770628031343,0.0014141269493848,0.0007364285411313,False
"yes, psh, all of 'em but everybody just pretty much got they own thing going on",0.09870692,0.0,0.0,0.0,0.0014828622806817,0.0013506062095984,0.0007530456059612,False
"so you know when you grow older and you just you know, start pretty much",0.06851897,0.0,0.0,0.0,0.0231168735772371,0.0009913183748722,0.0048869890160858,False
"yeah, doing your own thing",0.0471521,0.8442193865776062,0.0,0.0,0.0597603023052215,0.0005862882826477,0.0013654095819219,False
"yeah, can't really link up how you used to, but that don't mean we not close",0.023803791,0.9878403544425964,0.0562499999999999,0.0,0.0006634222227148,0.0005443118279799,0.0006128465756773,False
"we just had one in july twentysixteen, so it might be twenty twentyeighteen before we have another one",0.031014297,0.0,0.0,0.0,0.0008572640945203,0.0004021364147774,0.0003371828934177,False
"excuse me, it wasn't as big as i thought it would be",0.078108564,0.999680757522583,0.025,0.0,0.0011537710670381,0.000593758537434,0.0031605993863195,False
it was like everybody,0.030670939,0.0,0.0,0.0,0.0018598540918901,0.0004612071497831,0.0009569259709678,False
it wasn't good timing,0.059728492,0.9997548460960388,0.0,0.445,0.0014127464964985,0.000555602251552,0.0004477507900446,False
"people wasn't a lot of people didn't really show up, but we still enjoyed the people that we did have, and it was more so the older people, and that's who you wanna see before they check out",0.044405237,0.0,0.0,0.0,0.0005823130486533,0.0004492572043091,0.0006130069377832,False
you know,0.043718524,0.0,0.0,0.0,0.0024898352567106,0.000538251013495,0.0007277476252056,False
"ooh, excuse me, i'm the oldest girl and the second oldest out of them",0.11665283,0.0,0.025,0.0,0.0216482877731323,0.0030223515350371,0.0117665044963359,False
i only got one big brother,0.089041,0.0,0.0,0.0,0.0025387264322489,0.0015770144527778,0.0005556411924771,False
"everybody else younger than me, and me and him are only seven months",0.049898956,0.9987857937812805,0.0,0.0,0.001583430217579,0.0022676922380924,0.0048220180906355,False
"then you got mary eighteen, and then i got twins",0.07850813,0.0,0.0,0.0,0.0071706664748489,0.0004245076852384,0.0004605231224559,False
they're eleven,0.087430015,0.0,0.0,0.0,0.0109481392428278,0.0015219505876302,0.0010719533311203,False
then i got mary,0.036679696,0.0,0.0,0.0,0.0146789019927382,0.0004590360622387,0.0004262363072484,False
"he's four and mary is only october, november, december, january, february, march, she's only four months",0.018048171,0.9947407841682434,0.0,0.0,0.0120275160297751,0.0006418906268663,0.0003983182832598,False
can't really put a name on it,0.027580723,0.9969293475151062,0.0,0.0,0.0007639392279088,0.0006275668856687,0.0004365444765426,False
but you know rdname3 cause we the closest,0.087430015,0.0,0.0,0.0,0.0011183012975379,0.0004702536389231,0.0010708805639296,False
"but and my big brother, he grew up with his mom, so ev, and then the other four, they just so much younger",0.070516795,0.0,0.0416666666666666,0.0,0.0056549296714365,0.0012674031313508,0.0014815926551818,False
"so and then personally, me and mary just always had a bond",0.04818217,0.0,0.0,0.0,0.0006929751252755,0.0004098305362276,0.000290663097985,False
"um, i feel like she did because i don't know mary",0.025692256,0.6945609450340271,0.0,0.0,0.0014065665891394,0.0011788612464442,0.000558516185265,False
mary could get away with murder and zaria,0.36805952,0.7896460890769958,0.0,0.402,0.3360428512096405,0.1987499445676803,0.0526232905685901,False
zaria conscious is not like mine,0.08635602,0.9998189806938171,0.0,0.297,0.0142248198390007,0.0007372876279987,0.0134644554927945,False
"i, i care",0.032731086,0.0,0.0,0.0,0.1656972765922546,0.000858184415847,0.0005255818250589,False
"mary got a i don't give a fuck mindset and sometimes i'm like that too, but more so her cause she don't even care",0.6769488,0.9996322393417358,0.0,0.122,0.981921136379242,0.9603766798973083,0.9313748478889464,True
"um, i'm not really a friend person",0.0729142,0.9989516735076904,0.1,0.321,0.001277228584513,0.0016930139390751,0.0007965181721374,False
i have so much family like we so close,0.073313765,0.0,0.0,0.0,0.0010141505626961,0.0003670521837193,0.0005331501015461,False
i got one cousin,0.055732824,0.0,0.0,0.0,0.0008879284141585,0.0004250533238518,0.0003889412910211,False
i got one friend and then i got my sister,0.16758743,0.0,0.0,0.0,0.0017855782061815,0.0010602100519463,0.000911192735657,False
"hell, yeah, and they the only ones who stayed down like hey, everybody, let's go smoke workout",0.34388447,0.7084532380104065,0.0777777777777777,0.197,0.4781262278556824,0.1714169532060623,0.0496967695653438,True
eat,0.059328925,0.0,0.0,0.0,0.0303421448916196,0.0029220196884125,0.0006714864284731,False
talk about boys,0.09870692,0.0,0.0,0.0,0.0012763937702402,0.004304954316467,0.0018791264155879,False
just chill sixth grade at mission san josé high school,0.059728492,0.9594271183013916,0.0,0.0,0.0016244481084868,0.0004233797371853,0.0005441468674689,False
"yep, um, school was what? what you made it at my school when i went to mission san josé high school, el, well, mission san josé high school middle and high, and i went to mission san josé high school elementary, and it was like in the beginning it was good",0.058130227,0.5710351467132568,0.0,0.0,0.0009351661428809,0.0004389338137116,0.000516646367032,False
it was a excellent school,0.021518974,0.0,0.0,0.0,0.0008108105976134,0.00041901669465,0.0004609647439792,False
"you know, we was all cool",0.029984225,0.0,0.0,0.0,0.0007399123860523,0.0003881306620314,0.0008244648925028,False
and then you got folks moving in from crazy areas,0.1689685,0.0,0.6,0.211,0.0157698411494493,0.0155792217701673,0.0231469683349132,False
then you got everybody else around my area growing up venturing out and stuff,0.020685982,0.0,0.0,0.0,0.0030835513025522,0.000738940667361,0.0020291949622333,False
"so it's like one day you might have, we might make what is it called? the um",0.062925026,0.8935208916664124,0.0,0.0,0.0006873282254673,0.000505520380102,0.0008975553209893,False
we might meet all our criterias or something,0.028954152,0.0,0.0,0.0,0.0006805809098295,0.000734266010113,0.0002930731570813,False
"then the next day they want a food fight or something like that, or or the next day you know you got these gang members quote",0.1943727,0.9981022477149963,0.0,0.088,0.0134067377075552,0.0024577747099101,0.0406642779707908,False
"unquote, coming in and out of the school we like",0.06612156,0.9617470502853394,0.0,0.0,0.0014049593592062,0.0007451251731254,0.0008770365384407,False
who are y'all where'd y'all come from? that was like seventh grade seventh grade,0.15684792,0.9996699094772339,0.0,0.0,0.0101814242079854,0.0035487504210323,0.0057108327746391,False
you start having all the ratchetness,0.22990009,0.9985509514808655,0.0,0.0,0.4555208683013916,0.0315122939646244,0.07955202460289,False
"well, i always well when i got in high school, i took um ap classes, but throughout middle school it was like thirty and forty kids in a classroom",0.05413456,0.8876902461051941,0.0,0.0,0.0016990125877782,0.0004688444605562,0.000443061318947,False
"it used to be so hot, but in high school i only had maybe like ten, eleven people in my class sometime twenty at the most",0.2965773,0.7536312937736511,0.0,0.0,0.0008500289404764,0.0019196138018742,0.0003832240181509,False
"of course, the basics, math, reading and science, social studies",0.009162918,0.0,0.0,0.0,0.0006307628937065,0.0003936757857445,0.0005479585379362,False
"then i got um, biology and ap, geometry, and ap, whoever else, um, all those different maths, and then they had of course biology, chemistry, physical science, and all that economics",0.019714156,0.6527722477912903,0.0,0.0,0.0008745693485252,0.0003991434641648,0.0003931745304726,False
"mmhm, not middle school",0.024147147,0.9992571473121643,0.0,0.0,0.0011738535249605,0.0005229109665378,0.0003199061320628,False
that was like high school,0.040284947,0.9518262147903442,0.0,0.0,0.0035508789587765,0.0006742611876688,0.0006416628020815,False
"oh, no, i had economics like tenth grade course",0.034962907,0.9903051853179932,0.0,0.0,0.003763414453715,0.0004175399953965,0.0006590582197532,False
you can remember math cause that's your money,0.12631269,0.9242938160896301,0.0,0.0,0.0149692315608263,0.0007096237386576,0.0005022639525122,False
"english and stuff like that, literature and stuff like that",0.040971663,0.0,0.0,0.0,0.0007835298893041,0.0006885178154334,0.0006529894890263,False
"it broadens your va vocabulary and it opens your mind to i guess, believe and think, and then of course you got history and stuff",0.028267438,0.0,0.0,0.0,0.0035668683703988,0.0008126702159643,0.0015868662158027,False
you got you know some history,0.050242316,0.0,0.0,0.0,0.0009908222127705,0.0004052559088449,0.0006318567902781,False
"well, all history really is our history, but then you hear different aspects and different point of views as you grow older, and then you eventually get your own mindset and chemistry and science and stuff like that",0.031357653,0.0,0.0,0.0,0.0014291947009041,0.0007928186678327,0.0007003583014011,False
"i ain't really go for all that cause i got a real weak stomach, but everything else was",0.09548495,0.999078631401062,0.18125,0.103,0.0024676225148141,0.0024434623774141,0.016137633472681,False
everything else was pretty cool,0.035306264,0.0,0.0,0.0,0.0006988897803239,0.0003651887527666,0.0004841244663111,False
like real cool,0.029640866,0.0,0.0,0.0,0.0007265554158948,0.0003556601295713,0.0005638220463879,False
"yeah, and i had my major was gonna be nursing",0.12888865,0.0,0.0,0.0,0.009991274215281,0.0017226369818672,0.0011792537989094,False
like i switched my major up soon as i took them classes,0.048868883,0.0,0.0,0.0,0.0015800317050889,0.0005665883654728,0.0004956684424541,False
"i'm like, oh, my stomach is too weak",0.12824467,0.9998711347579956,0.375,0.254,0.0339804254472255,0.0319772660732269,0.2037228941917419,False
i was in those classes,0.030327583,0.0,0.0,0.0,0.000985222752206,0.0004074206517543,0.0004630564362742,False
they was trying to get us to dissect,0.0765103,0.9971784353256226,0.0,0.0,0.0009398068068549,0.0004638008249457,0.0004625288420356,False
i'm like dissect,0.13969667,0.9976285099983215,0.0,0.0,0.0009469502256251,0.0006090163951739,0.0016746894689276,False
