text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, yeah, you know, basically when i, when i was growing up, mm",0.046122026,0.9954634308815002,0.0,0.0,0.0009939370211213,0.000663265469484,0.0007541443919762,False
"yeah, s live on the farm until i was about probably about twelve years old",0.06332459,0.6103124618530273,0.0,0.0,0.0086109135299921,0.0006852398510091,0.0010934997117146,False
then the stay at my grandmother,0.07850813,0.908153235912323,0.0,0.0,0.0020383165683597,0.0011448774021118,0.0009025291656143,False
"after that i moved, um start staying my mom, my mom and stepfather",0.09816993,0.0,0.0,0.0,0.001872224966064,0.0066296532750129,0.0032226589974015,False
he was in um,0.04680874,0.8686079382896423,0.0,0.0,0.0016839626478031,0.0005669230013154,0.00067382119596,False
"military, so we left there went to like",0.03461955,0.9717646837234497,0.05,0.0,0.0007438421598635,0.0008817863999865,0.0016435157740488,False
georgia didn't stay in georgia long,0.040628307,0.9868420958518982,0.05,0.0,0.0010064388625323,0.0005872985930182,0.005339128896594,False
then we lived,0.013744377,0.0,0.0,0.0,0.0030173971317708,0.0003819951962213,0.000991376931779,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
new jersey stayed there,0.039254878,0.6522946953773499,0.0,0.0,0.0012473470997065,0.000540480192285,0.0005714264698326,False
probably probably about just about three years,0.019436494,0.832053542137146,0.0,0.0,0.0006617983453907,0.0003669608850032,0.0003894161782227,False
"and after we m, um left new jersey, that's when we went down to panama and went to panama",0.039254878,0.8709961175918579,0.0063973063973064,0.0,0.0008929145406,0.0006808174075558,0.0010445187799632,False
"f for three, three and a half years",0.1008549,0.9494165778160095,0.1666666666666666,0.0,0.00103365839459,0.0007157775689847,0.0018488316563889,False
"then after we left from panama, that's when we came back back down here",0.036508016,0.0,0.0388888888888888,0.0,0.0007040425552986,0.000857196340803,0.0006834691739641,False
"uh six, sixteen, sixteen left in between the age of eleven and twelve",0.039254878,0.9899278283119202,0.0,0.0,0.0010343312751501,0.0003420815628487,0.001180644147098,False
"yes, when on tarbor, it's out",0.050585672,0.0,0.0,0.0,0.0009037632262334,0.0008434962364844,0.0010246163001284,False
"um, matter of fact, it's on the old old sixty four",0.031529333,0.8884718418121338,0.0,0.0,0.0006970282993279,0.0004322849854361,0.0013289428316056,False
"like you, going to rocky mount, that little farm out that way, just a kid chopping chopping wood",0.11407687,0.0,0.1875,0.0,0.1209232285618782,0.0015243167290464,0.0578527227044105,False
"put it on the porch for my grand, my grandparents",0.11021292,0.0,0.0,0.0,0.0025557519402354,0.0022549733985215,0.004584917332977,False
"and basically that's it just being just being a kid, run around bicycles, falling off bicycles, skinned up little stuff like that",0.16965903,0.9996511936187744,0.1875,0.067,0.0027527995407581,0.0167918726801872,0.0150553015992045,False
"yeah, no, they",0.019019997,0.992225170135498,0.0,0.0,0.0014502177946269,0.0006825624150224,0.0006106219952926,False
they worked on a farm,0.049212243,0.0,0.0,0.0,0.0017104488797485,0.0007947543053887,0.0011569092748686,False
"yeah, no, it was",0.020408317,0.9954714775085449,0.0,0.0,0.0010238371323794,0.0005408105207607,0.0006461293669417,False
"yes, someone else owned the farm",0.018881164,0.8590819835662842,0.0,0.0,0.0007358841248787,0.0005247191293165,0.0003991556586697,False
"they working for them for this man on the farm, n being hard headed, my aunt",0.15918289,0.0,0.2916666666666667,0.085,0.003212446346879,0.0032315859571099,0.0047812089323997,False
"um, just a normal day",0.023803791,0.9488872289657593,0.0,0.0,0.001041509443894,0.000496809836477,0.0004661299171857,False
"i was calling myself going around the house, you know, getting little broken bottles and stuff like that, throwing 'em on the trash pile",0.28874767,0.9997634291648865,0.29375,0.103,0.2420828342437744,0.263458788394928,0.2526611089706421,False
"my aunt told me, just leave it alone, but me thinking i'm doing something good, kept on being hard headed",0.1423886,0.997689962387085,0.0,0.175,0.0010612002806738,0.0396843068301677,0.0018151417607441,False
"got one that was busted but didn't know it, and i threw it and split my thumb open",0.29021257,0.9996280670166016,0.0,0.0,0.1538146734237671,0.250244528055191,0.0165043286979198,False
probably about seven,0.017562259,0.0,0.0,0.0,0.0010097571648657,0.0004166340804658,0.0004029088595416,False
i'm still have the scar,0.04680874,0.8051751852035522,0.0,0.0,0.0303687788546085,0.000857220380567,0.0009953461121767,False
still have the scar and just so happened,0.06931809,0.8755359649658203,0.0,0.0,0.0089233312755823,0.0005733176367357,0.0020099107641726,False
"no, just my aunt",0.031357653,0.5225428342819214,0.0,0.0,0.0010244742734357,0.0004181099648121,0.0007625460275448,False
i think two of my aunts were just there and just so happened,0.032387726,0.9816576242446899,0.0,0.0,0.0007003669743426,0.0021764207631349,0.000507682270836,False
i think a insurance agent came over and that's how i i got from the from the house to the hospital,0.015896274,0.8962823152542114,0.0,0.0,0.000994665082544,0.0006566950469277,0.0006467729108408,False
"yep, then had to get",0.019158829,0.0,0.0,0.0,0.0090591283515095,0.0004776593996211,0.0008462640107609,False
"uh, mm",,0.7126017212867737,0.0,0.0,0.0009831514908,0.0008702637860551,0.0007150484016165,False
i was probably about phew prob,0.084745035,0.9950355291366577,0.0,0.0,0.0040219626389443,0.0006451777298934,0.0023082934785634,False
"be about good twenty, probably a good twenty stitches",0.10515087,0.0,0.0,0.0,0.0008762763463892,0.0005488257156684,0.0108637269586324,False
"yeah, they had to had to take a couple people to hold me down cause they had to stick a needle in the inside of it",0.2297899,0.9995456337928772,0.1555555555555555,0.0,0.0043898681178689,0.0929455235600471,0.2711323797702789,False
yeah,0.02124131,0.0,0.0,0.0,0.0015659044729545,0.0005244363564997,0.0006040357402525,False
"yeah, yeah, yeah, yeah, it was my aunt",0.087430015,0.0,0.0,0.0,0.0009664715034887,0.0004673175571952,0.0009374020737595,False
yep,0.018742332,0.0,0.0,0.0,0.0507384054362773,0.0005257409065961,0.0006741054239682,False
"yeah, just just basically just kind of kind of panic",0.07131593,0.9993923902511597,0.0,0.26,0.0040432740934193,0.0013738477136939,0.0051775067113339,False
"i, i don't remember her her fussing at me",0.060927194,0.9978079199790955,0.0,0.0,0.0017405826365575,0.0061752130277454,0.0221337564289569,False
"then, i think now one of my aunts",0.03204437,0.0,0.0,0.0,0.0008782273507677,0.0522912740707397,0.0006831282516941,False
she fuss at me more about it now than then,0.28923595,0.7045542001724243,0.0,0.0,0.0013427825178951,0.0100286994129419,0.0472728796303272,False
"yeah, that, just remember, just just getting my thumb, had a a pan of water pulling my finger in it, dumping it, putting it back in just just hard headed, just hard headed",0.27359754,0.9996572732925415,0.1944444444444444,0.14,0.0151061117649078,0.0581795051693916,0.0185428280383348,False
"no, just went there and and stitched it up and know know came back",0.119228795,0.9933358430862427,0.0,0.0,0.0007176388171501,0.0007886291714385,0.0079851914197206,False
"yeah, oh yeah, had to go to school with it all wrapped up and stuff like that",0.13790205,0.0,0.0,0.0,0.0010510319843888,0.0096712345257401,0.0015789158642292,False
"yeah, my grandfather name was",0.018325835,0.0,0.0,0.0,0.0007604517741128,0.0007398715242743,0.0006598155014216,False
"we called him mary, but his name was mary",0.02655065,0.8052036166191101,0.0,0.0,0.0014058635570108,0.0006606340757571,0.0003026503545697,False
my grandmother name was um,0.023460433,0.0,0.0,0.0,0.0010887125972658,0.0014829616993665,0.0012924007605761,False
mary,0.010967735,0.0,0.0,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"yep, well, that's when i, i, um, think when i was probably like, i say, eleven, maybe twelve",0.023288755,0.9617969989776611,0.0,0.0,0.000773603154812,0.0007076218025758,0.0008736956515349,False
"uhhuh, that's when i started staying with them",0.05852979,0.0,0.0,0.0,0.0010775795672088,0.000833221944049,0.0009929073275998,False
"yeah, cause when at that around that time they were stationed in either texas or either alaska",0.008191093,0.0,0.0,0.0,0.0006257080240175,0.0005167959025129,0.0004365663044154,False
"yeah, cause that's when texas, where where my other brothers were born at, and alaska",0.0131890485,0.0,0.125,0.0,0.0007338266586884,0.0012554940767586,0.0005409063887782,False
my baby brother was born at uhhuh,0.0334178,0.0,0.0,0.0,0.0014211735688149,0.0041229892522096,0.0019350529182702,False
my grandparents with my mom,0.077709,0.0,0.0,0.0,0.0154963349923491,0.0020284999627619,0.0027414748910814,False
"yeah, well, they did",0.023117077,0.0,0.0,0.0,0.0010552809108048,0.000360911944881,0.0005547740729525,False
i just went to like like three places,0.023632111,0.9969233870506287,0.0,0.0,0.0006025734473951,0.0004982306272722,0.0007777650607749,False
"it was like georgia, but really can't say georgia, cause i think we probably stayed there",0.05253629,0.9887063503265381,0.0,0.0,0.0006404539453797,0.0004256982938386,0.0008016209467314,False
"probably about pro, probably wasn't a month",0.01561861,0.9987679123878479,0.0,0.0,0.0007988365250639,0.0005106895114295,0.0002562545414548,False
"and then like i said, went to um",0.031357653,0.945996105670929,0.0,0.0,0.0010436528827995,0.0006229873979464,0.0007787732756696,False
new jersey,,0.0,0.0,0.0,0.0014324521180242,0.0004554487532004,0.0004749147337861,False
think it was like two,0.0224908,0.9887370467185974,0.0,0.0,0.0009134467109106,0.0005940786213614,0.0010287772165611,False
three years we stayed,0.0186035,0.0,0.0,0.0,0.0007682808791287,0.0004511022707447,0.0006073249969631,False
we stayed in new jersey,0.0224908,0.9743115305900574,0.0,0.0,0.0009216386824846,0.0004606937582138,0.0003247694403398,False
then he got,0.0224908,0.0,0.0,0.0,0.0061663030646741,0.0004139312077313,0.0011301634367555,False
"um, moved on to panama",0.027580723,0.9510162472724915,0.0,0.0,0.0008567394106648,0.0016337056877091,0.0009079514420591,False
"oh, it was",0.0253489,0.0,0.0,0.0,0.0015636821044608,0.0004513829480856,0.0007579521043226,False
"yeah, it was it was fun",0.038911518,0.0,0.0,0.0,0.0009105061762966,0.000346554123098,0.0006188846891745,False
it was fun going to there know,0.028610796,0.0,0.0,0.0,0.0006133543793112,0.0004079519421793,0.0004660082049667,False
meet a meet,0.08501353,0.0,0.0,0.0,0.0096843652427196,0.0007465712260454,0.000514990708325,False
a lot of know,0.021518974,0.0,0.0,0.0,0.0006422688020393,0.0004199914692435,0.0004650639020837,False
different friends and stuff like that,0.045091953,0.7738243341445923,0.0,0.0,0.0006912499084137,0.0008293034625239,0.0024422991555184,False
people and stuff like that,0.040284947,0.0,0.0,0.0,0.0008384429966099,0.0009073768160305,0.0054027861915528,False
you know it was different going to school,0.053335425,0.9691823720932007,0.0,0.0,0.0008589439094066,0.0005948024336248,0.000801658432465,False
know you had to go,0.036336336,0.0,0.0,0.0,0.0028886180371046,0.0023760125041007,0.0008702467894181,False
"think it took me like, think, it was like thirty minutes to get to school cause, leave the base and then have to go over the panama bridge and then you know, go into um, the town a little bit",0.080905534,0.9671921133995056,0.49375,0.028,0.0017675950657576,0.0006448879139497,0.0008616999839432,False
go to the school,0.1019289,0.0,0.0,0.0,0.1164536997675895,0.0028518114704638,0.0009181948844343,False
"yep, yeah, took the bus",0.046465382,0.0,0.0,0.0,0.0036236026789993,0.0007502095540985,0.0024053817614912,False
mm,0.033246122,0.0,0.0,0.0,0.0010840946342796,0.0008179078577086,0.0005002457182854,False
"yeah, it was it was",0.022074303,0.0,0.0,0.0,0.0011972795473411,0.0004092486051376,0.0007618095260113,False
it was a nice place,0.018325835,0.0,0.0,0.0,0.0006966265500523,0.0003387185861356,0.000575547106564,False
it was a nice place,0.017909339,0.0,0.0,0.0,0.0006966265500523,0.0003412903170101,0.0005695090512745,False
"yeah, i liked it there",0.028954152,0.0,0.0,0.0,0.0006461429293267,0.0003830872301477,0.0003703655675053,False
"i mean, it had a lot of had a lot of um activities for you know, the kids to do, cause as i got up there, first thing i start doing is i start playing a little football",0.054534122,0.7336622476577759,0.0833333333333333,0.0,0.0009424139279872,0.0005211855168454,0.0017142693977802,False
"yeah, ye",,0.0,0.0,0.0,0.0164743848145008,0.0007469092379324,0.0005895871436223,False
"yeah, yeah, yeah, uhhuh, mission san josé high school",0.029125832,0.0,0.0,0.0,0.0007828309317119,0.0005161851877346,0.0006565492367371,False
"yes, i went to um, went to mission san josé high school",0.02809576,0.0,0.0,0.0,0.0008272178820334,0.000508036406245,0.0003906118799932,False
"yeah, uhhuh, it was what you mean? i made it hard for myself because i was basically just instead of just you know, when i didn't understand something, just asking, i'll sit back",0.062125895,0.9979419112205505,0.2013888888888889,0.04,0.0008349709096364,0.0007508922135457,0.0013790512457489,False
i'll be scared of what you know,0.22952124,0.931270182132721,0.0,0.326,0.0038983279373496,0.0038086005952209,0.0011828644201159,False
"what somebody gonna say, you know, if i might you know, might not know a lot of things they might know",0.07571117,0.0,0.0,0.0,0.0008024264825507,0.0007563564577139,0.0009288037545047,False
i just might be scared that they ask the question,0.09118898,0.9921687245368958,0.0,0.244,0.0008640353917144,0.0005984220770187,0.0009148869430646,False
"so i just basically just sit back, you know, then try to figure out then, like i said, me being hard headed and stuff like that",0.13655609,0.9812400937080383,0.1458333333333333,0.048,0.0010037256870418,0.0140851577743887,0.0012059048749506,False
"i either i learned or i, you know or i didn't know",0.021657806,0.0,0.0,0.0,0.000933553033974,0.0007416843436658,0.0004007380921393,False
if i sometime,0.01999182,0.0,0.0,0.0,0.0007647903403267,0.0022964496165513,0.0005160919390618,False
"i figured a way out, you know, to learn it or every n know",0.085282035,0.0,0.0,0.0,0.0027661945205181,0.0018731305608525,0.0007904468802735,False
"every now and then i might ask for their help, but when i ask for it, i try to ask for it when it ain't nobody around",0.03599298,0.0,0.0,0.0,0.000623133208137,0.0016015415312722,0.0004785549244843,False
"cause like i said, you know, just know",0.018742332,0.0,0.0,0.0,0.0009300484671257,0.000463443720946,0.0009027967462316,False
"embarrassed of wondering what somebody else gonna say? yeah, it was like i said me myself",0.20963,0.9890350103378296,0.0,0.124,0.0008516580564901,0.0022536746691912,0.005113661289215,False
i,0.018187003,0.0,0.0,0.0,0.0033499409910291,0.0007452693535014,0.0005561164580285,False
i made it hard for myself,0.2022951,0.9997979998588562,0.2916666666666667,0.219,0.0053913290612399,0.0012837107060477,0.0013113836757838,False
"yeah, i, i can't recall their names but just sitting here kind of like, can like see the classroom and stuff like that",0.03994159,0.9465233683586121,0.0,0.0,0.0006584406946785,0.0006590430857613,0.0005941732088103,False
you know,0.03994159,0.0,0.0,0.0,0.0024898352567106,0.0004940603976137,0.0006626065005548,False
ooh,0.024833864,0.0,0.0,0.0,0.0152247315272688,0.0007017696625553,0.0007553444593213,False
fourth grade would starts,0.17587385,0.7687820792198181,0.0,0.0,0.0021900534629821,0.0006120717152953,0.0004519381036516,False
"had to be like the when you start, but think it was like second grade",0.055732824,0.9937566518783569,0.0,0.0,0.0018901358125731,0.0005103850853629,0.001952261547558,False
think it was,0.01999182,0.0,0.0,0.0,0.0009297276847064,0.0005013410118408,0.0005039526731707,False
"yeah, d",0.043718524,0.0,0.0,0.0,0.0013785633491352,0.0007138507789932,0.0007140371599234,False
"yeah, yeah, cause yeah, because when i got with my parents it was",0.03221605,0.0,0.0,0.0,0.0008961436105892,0.0006621323991566,0.001849845633842,False
it was like more chores,0.2712817,0.9407639503479004,0.0,0.0,0.0011410231236368,0.0005753266159445,0.0096184695139527,False
"it was more duties i had to do around the house, you know, and like i said, when i was staying at my grandparents, least, the only thing i had to do then was just just um, chop wood and put it on the porch, you know, then got with my parents",0.09870692,0.0,0.0,0.0,0.0009207535185851,0.0007806066423654,0.0035334373824298,False
"you know, you know, started doing more things you know, helping out around the house",0.056931525,0.0,0.0,0.0,0.0008436345378868,0.0005128133343532,0.0010157449869439,False
"yeah, yeah, yeah, heck, down the street, yup, rdaddress7",0.22775516,0.0,0.1555555555555555,0.0,0.0012059928849339,0.0490433275699615,0.1171332225203514,False
yup right down the street right,0.027580723,0.0,0.0,0.0,0.0008737526368349,0.0007628327584825,0.0006549184327013,False
it's uh little intersection right there,0.036508016,0.996892511844635,0.0,0.0,0.0006008134805597,0.0004231624770909,0.0008473012712784,False
"soon as you make that left, go there down the left",0.08050597,0.9420258402824402,0.0518518518518518,0.0,0.0029319408349692,0.0165170729160308,0.0009525319910608,False
the big house sitting right on the left hand side right down the street,0.02054715,0.8382332921028137,0.0,0.0,0.001453177537769,0.0007183065754361,0.0003743126871995,False
"yes, yes, uh, hoo, some kin to some",0.058929358,0.0,0.0,0.0,0.0008069109753705,0.0004423962091095,0.0005202476750127,False
"yeah, i'm some kin to um, some, um, mary, some mary, some mary that went to school",0.09065199,0.0,0.0,0.0,0.0245116557925939,0.0006601969944313,0.0004253851075191,False
i went to school with her,0.03616466,0.0,0.0,0.0,0.001572746085003,0.0011364314705133,0.0005612010718323,False
"yeah, i went to school with her",0.0471521,0.0,0.0,0.0,0.0010243781143799,0.0011371418368071,0.0005201814929023,False
"no, i'm not kin to her",0.07251463,0.8793201446533203,0.0,0.0,0.0017618244746699,0.0013043804792687,0.0139561304822564,False
"yeah, um, um, you know the real estate comp up here, the mary",0.031185975,0.0,0.0,0.0,0.0008841921808198,0.0005181088345125,0.0008968623587861,False
that's my uncle,0.032559406,0.0,0.0,0.0,0.0030267988331615,0.0014398276107385,0.0004927442059852,False
"yeah, that's my uncle",0.035134587,0.0,0.0,0.0,0.0011546396417543,0.0014216804411262,0.0006025309558026,False
uh,0.02124131,0.6595472097396851,0.0,0.0,0.0012679392239078,0.0007949224091134,0.0007840975304134,False
mm,0.033246122,0.0,0.0,0.0,0.0010840946342796,0.0008179078577086,0.0005002457182854,False
"yes, they're fr",0.04234509,0.0,0.0,0.0,0.0026575361844152,0.0414094887673854,0.0096714440733194,False
they're from this area from they were,0.023288755,0.0,0.0,0.0,0.001700299908407,0.0004576924839057,0.0037043569609522,False
"think, like i said about, like in tarboro, yeah, yeah, my dad he was",0.029984225,0.0,0.0,0.0,0.0008851240272633,0.0008423629333265,0.0014351583085954,False
he was still in the military,0.026894007,0.5925622582435608,0.1,0.0,0.0011815441539511,0.0006508760270662,0.0005018019000999,False
"yeah, and my mom she started working at at school, working in school systems",0.014785618,0.0,0.0,0.0,0.0011613740352913,0.0008819531649351,0.0006726059364154,False
"yeah, she's a teacher",0.032559406,0.0,0.0,0.0,0.0070354901254177,0.0014432060997933,0.0013349856017157,False
"yeah, right here at um, google",0.025520578,0.6043677926063538,0.0,0.0,0.0007500808569602,0.000459560775198,0.0004470108833629,False
"mmhm, yep, then well, she's i'm a mary, but she's a um",0.06412373,0.0,0.0,0.0,0.3266373872756958,0.0014365051174536,0.001847825362347,False
mary,0.010967735,0.0,0.0,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"yeah, my grandmother stay right here by the store",0.09387396,0.0,0.0,0.0,0.0060134977102279,0.0026498502120375,0.0017001945525407,False
that's my grandmother,0.035477944,0.0,0.0,0.0,0.0150294378399848,0.0008348869159817,0.0018369010649621,False
"yeah, that's my grandmother",0.036508016,0.0,0.0,0.0,0.0045702857896685,0.0008508210303261,0.0027375537902116,False
yep,0.018742332,0.0,0.0,0.0,0.0507384054362773,0.0005257409065961,0.0006741054239682,False
"yeah, yup",0.02397547,0.0,0.0,0.0,0.000707545899786,0.00080436602002,0.0005488387541845,False
that's my brother,0.031185975,0.0,0.0,0.0,0.0014638291904702,0.0015591669362038,0.0004150108143221,False
"yup, yeah, that's my",0.021796638,0.0,0.0,0.0,0.0006851582438685,0.0007095865439623,0.0012394151417538,False
that's my brother,0.031185975,0.0,0.0,0.0,0.0014638291904702,0.0015591669362038,0.0004150108143221,False
yup,0.022074303,0.0,0.0,0.0,0.0007131381426006,0.0008673939737491,0.0006688291323371,False
