text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, mmhm, okay, oh, that works out",0.045778666,0.7419597506523132,0.0,0.0,0.0007419709581881,0.0004629205213859,0.0008144097519107,False
that works out,0.04680874,0.0,0.0,0.0,0.0007489367271773,0.0003826218598987,0.000547191069927,False
mm,0.033246122,0.0,0.0,0.0,0.0010840946342796,0.0008179078577086,0.0005002457182854,False
"oh, okay, alright, yes, born and raised in rochester, so um, i grew up on",0.05133759,0.0,0.0,0.0,0.0007417779415845,0.0004599547828547,0.0003947757650166,False
"it's i would say, nineteenth ward, nineteenth ward, southwest area, uh, rdaddress5, was the main street",0.04543531,0.8278878331184387,0.0,0.0,0.0008508915198035,0.0003628883277997,0.0005404101102612,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
to this day my grandmother is still there,0.027752401,0.0,0.0,0.0,0.0131788505241274,0.0007748795324005,0.0012357019586488,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"so technically you can say that that that house raised about a good three generations, you know, and that goes for my little sisters, and then my generation, and then my uncles",0.0729142,0.0,0.0,0.0,0.000642781087663,0.0006228642305359,0.0004588459560181,False
"so it's it's it's weird, but yeah, we've been there for a long long time",0.054534122,0.0,0.2,0.079,0.0006566183874383,0.0003789704933296,0.0023550135083496,False
"you know, i, my parents, my parents, um, i have",0.0253489,0.0,0.0,0.0,0.0007007448584772,0.0006385097512975,0.0007523684762418,False
i have on my dad's side,0.16758743,0.0,0.0,0.0,0.0153127163648605,0.0007347174105234,0.0011528191389515,False
"i would say, um, i have three uncles, one aunty, um, m, the first born son and the m",0.06532243,0.0,0.0,0.0,0.0007062689401209,0.0035224591847509,0.0009579585748724,False
first born lady,0.043375164,0.0,0.0,0.0,0.0014264915371313,0.0042800717055797,0.0024962741881608,False
they was born in mississippi,0.022074303,0.0,0.0,0.0,0.0010110499570146,0.000456186098745,0.0002951534697785,False
that's where my grandparents were from,0.020130653,0.0,0.0,0.0,0.0006328005692921,0.0006160284974612,0.0010340823791921,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"so when they came up here, that's when they had two more children, which is my father and then my uncle",0.05093802,0.0,0.0,0.0,0.0009171535493806,0.0018397708190605,0.0011576263932511,False
so they broke in,0.05413456,0.9971957206726074,0.0,0.506,0.0031839197035878,0.0011817641789093,0.0022824241314083,False
they broke everybody else in,0.13082063,0.9970278143882751,0.0,0.412,0.0097795762121677,0.016629671677947,0.015458189882338,False
"once they was born in rochester, they found the spot that was on rdaddress2",0.025520578,0.0,0.0,0.0,0.0006918553262948,0.0004110148292966,0.000492223422043,False
and the rest is history,0.014507953,0.774000346660614,0.0,0.0,0.0013934790622442,0.0004582537221722,0.0004081658553332,False
like rdaddress3,0.016173938,0.0,0.0,0.0,0.0130186332389712,0.0004077827907167,0.0003683871182147,False
"that whole street is in the lineage as well, cause of my m mother and my granny used to l",0.12309273,0.0,0.0,0.0,0.0062629273161292,0.0104095125570893,0.0035590659826993,False
my granny and my grandfather used to live on rdaddress3,0.05253629,0.0,0.0,0.0,0.0063747395761311,0.0060539771802723,0.0016804864862933,False
"when on my mom's side, when m my grandma and my grandad on my dad's side, moved on rdaddress2, so everything was in close proximity",0.089041,0.0,0.0,0.0,0.002339449012652,0.0013000686885789,0.0025277715176343,False
"it's weird, but yeah, i guess it worked out for the best right, right, um from back then or now",0.06132676,0.8880335092544556,0.0,0.05,0.0006454751710407,0.000426268816227,0.0004681660793721,False
both,0.017562259,0.0,0.0,0.0,0.0008981776772998,0.0003893185348715,0.000451403146144,False
"okay, i can do that",0.033761155,0.9905158281326294,0.0,0.0,0.0007430263212881,0.0003908349899575,0.000389064400224,False
"um, back then was, i can honestly say that was like the definition of what the word community is, cause you know, um, i wouldn't say that i was, you know, the greatest child, you know",0.06252546,0.0,0.0,0.0,0.0018320874078199,0.000619524216745,0.0027353675104677,False
"i mean, i was a good kid, me and my brother was a good",0.044405237,0.0,0.0,0.0,0.0007358781876973,0.000744818127714,0.0019681951962411,False
"we was uh, good kids",0.043031808,0.0,0.0,0.0,0.0006059752195142,0.0004573497280944,0.0008486895239911,False
"you know, however, we did get into some bad stuff, you know, playing hide and go seek, jumping on roofs and stuff, and you know, just just getting into anything you know, defying rules and everything, so you know when the situation pops up and you get whooped by the neighbor before you get whooped by your grandmama, and then after your grandmama get whooped by your mama",0.36805952,0.0,0.6999999999999998,0.072,0.5633756518363953,0.0035926653072237,0.2069999873638153,False
"that's when you know everybody's on one accord, you know",0.020269485,0.0,0.0,0.0,0.0013360744342207,0.0004724350001197,0.0006535772699862,False
"so like that's that's that's the epitome of what i grew up in, you know, so i always have to watch what i do, because there's always eyes on me",0.044405237,0.0,0.0,0.0,0.0009941610042005,0.0005327677936293,0.0010022865608334,False
"you know what i'm saying, and just to translate it towards, now you know, and it's not just my neighborhood",0.031185975,0.0,0.0,0.0,0.0006914344266988,0.0003990264667663,0.0006100115715526,False
it's other neighborhoods as well where neighbors do not care to speak to one another or to understand,0.089041,0.9984945058822632,0.125,0.127,0.0007498586201108,0.0008386711706407,0.0009584881481714,False
"hey, uh, i just moved in over here",0.05613239,0.0,0.0,0.0,0.0008683772175572,0.0018154165009036,0.0007409362006001,False
you know,0.03994159,0.0,0.0,0.0,0.0024898352567106,0.0004940603976137,0.0006626065005548,False
my name is such and such,0.027580723,0.0,0.0,0.0,0.0088238408789038,0.0008026271825656,0.0006518742884509,False
i have a son,0.030842619,0.0,0.0,0.0,0.0012617848115041,0.001025961828418,0.0003287964209448,False
i have a daughter,0.0471521,0.0,0.0,0.0,0.0016396287828683,0.0014680199092254,0.0005052309134043,False
not a lot of people do that you know,0.02637897,0.962691068649292,0.0,0.0,0.0014860980445519,0.0006055338890291,0.0009462558664381,False
so that's one of the things i've picked up,0.03770977,0.0,0.0,0.0,0.0006344905705191,0.0003788462490774,0.0005358786438591,False
"um, and growing up, i would say once, every every house that i've been in, i've vowed to know exactly who's around, because you know right now i'm engaged",0.03221605,0.0,0.0,0.0,0.0007428826065734,0.000394674600102,0.0006168340332806,False
i have,0.024318827,0.0,0.0,0.0,0.0008579267887398,0.0003512880066409,0.0004848058451898,False
"uh, i have step kids",0.09763293,0.0,0.0,0.0,0.0017440982628613,0.0034778588451445,0.0004927334375679,False
i have five step kids,0.0825038,0.0,0.0,0.0,0.0019296876853331,0.0013754370156675,0.0005388333811424,False
"you know, the two littlest ones, the twins",0.07571117,0.0,0.0,0.0,0.039915096014738,0.0026140508707612,0.0249427575618028,False
they are very vocal,0.059728492,0.0,0.0,0.0,0.0036897980608046,0.0004852281999774,0.0019996853079646,False
they love playing outside,0.09333697,0.0,0.0,0.0,0.0046511921100318,0.0004539693763945,0.0005876804352737,False
"so if anybody has other kids around, you know, they would definitely make friends",0.15159425,0.0,0.0625,0.0,0.0007048951811157,0.0006766258738934,0.0004903897061012,False
so i'll h have to know,0.044748597,0.0,0.0,0.0,0.0023896032944321,0.0021434337832033,0.0005063194548711,False
okay if they are friends with them,0.039254878,0.9035563468933105,0.0,0.0,0.0006128685199655,0.0005322348442859,0.0004096360062249,False
i got to know where they live at,0.03204437,0.0,0.0,0.0,0.0008559585548937,0.0004540691152215,0.0005410950980149,False
"you know, i don't want nobody having no type of issues",0.04131502,0.0,0.0,0.275,0.0025263701099902,0.0834267288446426,0.0075883506797254,False
"if i can talk to their parents, then that'd be wonderful",0.05653196,0.0,0.0,0.0,0.0005993910017423,0.0005783992819488,0.0017445982666686,False
"you know, and some, some of those kids want to cling on and do activities with our family, so i make sure that they co aks their parents",0.043375164,0.0,0.0,0.0,0.0080014010891318,0.0295364875346422,0.0150151783600449,False
you know things like that,0.043031808,0.0,0.0,0.0,0.0008518646936863,0.0004511953447945,0.0012165461666882,False
"that's how it's supposed to be, but you know a lot of people, doesn't the it that doesn't happen nowdays? i think it's uh, more of a thought like you can't trust people",0.11600884,0.9997405409812927,0.0,0.094,0.0010356392012909,0.002924664877355,0.0013946088729426,False
i think it's a,0.019852988,0.0,0.0,0.0,0.0010280903661623,0.0005275508156046,0.0027226379606872,False
it's a,0.019714156,0.0,0.0,0.0,0.0036705501843243,0.0008844111580401,0.0021988248918205,False
i don't know,0.017770508,0.9742851853370667,0.0,0.0,0.0010861124610528,0.0019429659005254,0.0003481701423879,False
it's a,0.020685982,0.0,0.0,0.0,0.0036705501843243,0.0005983222508803,0.0037114468868821,False
"it's a, hm",0.058130227,0.7205187678337097,0.0,0.0,0.0009642608929425,0.001032198080793,0.0067912791855633,False
it's a hard,0.09333697,0.9953665733337402,0.2916666666666667,0.412,0.0027373936027288,0.0011138550471514,0.0091123497113585,False
it's a,0.020685982,0.0,0.0,0.0,0.0036705501843243,0.0005983222508803,0.0037114468868821,False
"it's hard to touch on, because yes, some people can't be trusted",0.17242117,0.999826967716217,0.2916666666666667,0.253,0.0006687135319225,0.0052440525032579,0.0007387973600998,False
