,text,aae_count,detoxify_original_score,detoxify_unbiased_score,textblob_score,vader_score,clean_text
0,so mission impossible fallout is the sixth film in the twenty-two-year-old franchise and it is a direct sequel to,1,0.0011710341786965728,0.00037188746500760317,-0.2833333333333333,0.0,so mission impossible fallout is the sixth film in the twentytwoyearold franchise and it is a direct sequel to
1,2015's mission impossible rogue nation,1,0.0009117736481130123,0.03520815446972847,-0.6666666666666666,0.0,2015's mission impossible rogue nation
2,so this movie contains a couple of firsts for the franchise first off it is the first time that they have ever done a direct,2,0.0006697744829580188,0.0003915611014235765,0.19999999999999998,0.0,so this movie contains a couple of firsts for the franchise first off it is the first time that they have ever done a direct
3,sequel to the previous film the other movies in this franchise are,0,0.0007427686359733343,0.0005714170401915908,-0.14583333333333331,0.0,sequel to the previous film the other movies in this franchise are
4,standalone stories with relational connections to the previous films this movie is a direct sequel to the story of,2,0.0006274227052927017,0.00034900661557912827,-0.033333333333333326,0.0,standalone stories with relational connections to the previous films this movie is a direct sequel to the story of
5,2015's rogue nations,0,0.0010776339331641793,0.03389035910367966,0.0,0.0,2015's rogue nations
6,so i would highly recommend that you re watch rogue nation before you watch this film the second first in this movies,0,0.0008707783999852836,0.004421152174472809,0.1366666666666667,0.0,so i would highly recommend that you re watch rogue nation before you watch this film the second first in this movies
7,it's the first time that a director has returned to do a second movie in the franchise chris mcquarrie directed rogue nation,2,0.0008990184287540615,0.009494874626398087,0.125,0.0,it's the first time that a director has returned to do a second movie in the franchise chris mcquarrie directed rogue nation
8,and he's come back to direct this film as well because it is a direct sequel to his other film rogue nation,2,0.0009599170298315585,0.05783765763044357,0.018750000000000003,0.0,and he's come back to direct this film as well because it is a direct sequel to his other film rogue nation
9,but before i give my thoughts on the movie if you love to talk movies so much so that your friends think you talk too,2,0.0007558085490018129,0.005201599560678005,0.35,0.0,but before i give my thoughts on the movie if you love to talk movies so much so that your friends think you talk too
10,much about movies go ahead and join us down in the comments section,1,0.0008286482188850641,0.0006497622816823423,0.022222222222222213,0.0,much about movies go ahead and join us down in the comments section
11,we would love to talk movies with you all day long,2,0.0010587081778794527,0.03814033046364784,0.225,0.0,we would love to talk movies with you all day long
12,tell us your thoughts on this movie as well as the franchise in,1,0.0005772561999037862,0.0004154866619501263,0.0,0.0,tell us your thoughts on this movie as well as the franchise in
13,general with that said let's get started talking about the good what i love about this film is the,2,0.0005831311573274434,0.0004258104891050607,0.4166666666666667,0.0,general with that said let's get started talking about the good what i love about this film is the
14,world-building sort the sixth film in this franchise and what it wisely does to distinguish itself from the previous five films is try and tie,1,0.0008115202654153109,0.0003663837560452521,0.26666666666666666,0.0,worldbuilding sort the sixth film in this franchise and what it wisely does to distinguish itself from the previous five films is try and tie
15,the world together of this franchise what i mean by that is we start to understand,1,0.0006186813116073608,0.000352487521013245,-0.3125,0.0,the world together of this franchise what i mean by that is we start to understand
16,there's some direct,1,0.000755686778575182,0.0004061893851030618,0.1,0.0,there's some direct
17,sixth the film and that just makes us feel like this is a bigger world,0,0.0006538305315189064,0.0004264100280124694,0.0,0.0,sixth the film and that just makes us feel like this is a bigger world
18,"not just these kind of cool standalone stories, but in a world that's being inhabited by these characters along those same lines",1,0.0006104960339143872,0.00040009795338846743,0.31666666666666665,0.0,not just these kind of cool standalone stories but in a world that's being inhabited by these characters along those same lines
19,it continues the themes from the previous film about the consequences of actions and in doing so we start to dig a lot deeper,1,0.0006523329648189247,0.000342432816978544,-0.16666666666666666,0.0,it continues the themes from the previous film about the consequences of actions and in doing so we start to dig a lot deeper
20,into ethan hunts character instead of him just being seen as kind of like this,0,0.0006675173644907773,0.0004279105633031577,0.6,0.0,into ethan hunts character instead of him just being seen as kind of like this
21,unstoppable,0,0.003184326458722353,0.0026241315063089132,0.0,1.0,unstoppable
22,action hero this movie dives into his psyche and the consequences of everything that he's gone through in the previous times,2,0.001437569153495133,0.000630960741546005,-0.033333333333333326,0.0,action hero this movie dives into his psyche and the consequences of everything that he's gone through in the previous times
23,it takes a toll on him and we start to get little pictures of what that looks like. another thing,1,0.0007733557722531259,0.0006061701569706202,-0.1875,0.0,it takes a toll on him and we start to get little pictures of what that looks like another thing
24,the movie does well is it gives us a very clear,0,0.0006275650812312961,0.0004135791677981615,0.13000000000000003,0.0,the movie does well is it gives us a very clear
25,story we know exactly what ethan is trying to get the warheads and what the consequences,1,0.0013446700759232044,0.0003811341885011643,0.25,0.0,story we know exactly what ethan is trying to get the warheads and what the consequences
26,are if he doesn't get to them in time,1,0.00601624371483922,0.005089903715997934,0.0,0.0,are if he doesn't get to them in time
27,this also gives a sense of urgency in tension throughout the entire film and what gives the movie,0,0.0005858553340658545,0.0003625534300226718,0.0,0.119,this also gives a sense of urgency in tension throughout the entire film and what gives the movie
28,"complexity is the different characters and their motives, and we're not always sure what",0,0.0005940857226960361,0.0004640606348402798,0.25,0.131,complexity is the different characters and their motives and we're not always sure what
29,everyone is trying to do in each scenario and who is betraying who in each situation?,1,0.0006982236518524587,0.000493432569783181,0.0,0.189,everyone is trying to do in each scenario and who is betraying who in each situation
30,so while the basic story is fairly straightforward,1,0.0006029721698723733,0.00036399895907379687,0.1875,0.0,so while the basic story is fairly straightforward
31,it has a lot of nuance to it because of the interesting characters that,0,0.0005735723534598947,0.00031842608586885035,0.5,0.0,it has a lot of nuance to it because of the interesting characters that
32,populate the film speaking of interesting characters this movie has an amazing cast now,0,0.0006485898629762232,0.0004244702577125281,0.55,0.0,populate the film speaking of interesting characters this movie has an amazing cast now
33,we know the returning cast are great in these roles and have,0,0.0006054507102817297,0.00038386115920729935,0.8,0.0,we know the returning cast are great in these roles and have
34,amazing chemistry with one another but we had some new favorites into the mix with,3,0.0005880342796444893,0.0003307144215796143,0.3681818181818182,0.0,amazing chemistry with one another but we had some new favorites into the mix with
35,angela bassett as kind of this higher up in the government who's not,0,0.0010068316478282213,0.001353173516690731,0.425,0.0,angela bassett as kind of this higher up in the government who's not
36,necessarily on the side of the imf and who sends along an operative,1,0.0008090555784292519,0.010703377425670624,0.0,0.0,necessarily on the side of the imf and who sends along an operative
