text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, mmhm, yes, i consent to the recording",0.030327583,0.0,0.0,0.0,0.0006083840271458,0.0004258366825524,0.0003126373048871,False
just don't ever let me hear it because i hate the way my voice sound recorded,0.355017,0.9999693632125854,0.2,0.198,0.100077785551548,0.0108569609001278,0.0176808331161737,False
there we go,0.028267438,0.0,0.0,0.0,0.0007975666667334,0.0005996313411742,0.0008154946262948,False
"alright, okay, perfect, yes, yup, okay, when i was really small, from what i'm told, we lived in the rdaddress2 area, rdaddress2, avenue rdaddress2 area, and then, once we got older, my mother didn't want us in the city schools, so we moved out to rdaddress4 area",0.018325835,0.0,0.0,0.022,0.0007827093941159,0.0004533935571089,0.0007416575099341,False
i do,0.020824814,0.0,0.0,0.0,0.0019158989889547,0.0003391294158063,0.0004902878426946,False
"i, um, was in seventh grade at mission san josé high school and i got like pulled out like y",0.05093802,0.9937893748283386,0.0,0.0,0.0019125719554722,0.0013961781514808,0.0011238118167966,False
"you done? so we? yeah, she took me out and i started at mission san josé high school and me, my sister and brother",0.0753116,0.0,0.0,0.0,0.0014844347024336,0.0013105333782732,0.0016228951280936,False
we were the only black kids in the whole school,0.38261065,0.0,0.0,0.0,0.6226387619972229,0.2617593705654144,0.0657747387886047,False
"yeah, it was like a culture shock kind of to be around all of these kids who they grew up together",0.07011723,0.0,0.0,0.103,0.0014230011729523,0.0005090764607302,0.000590733194258,False
"they've been together since kindergarten and here we're out like a fly in a bowl of milk out of nowhere and i think it was like right before it was like in late october, november, so school had kind of just started",0.04543531,0.9969025254249573,0.0,0.0,0.0015288112917914,0.0005877779331058,0.001034521497786,False
"the kids were okay for the most part, but it was just so different because the neighborhood that we lived in was all up and coming black families who moved out there",0.38959074,0.0,0.0,0.0,0.0069641121663153,0.0983148142695427,0.0175271928310394,False
but then we didn't get to go to public school,0.017770508,0.9592706561088562,0.0,0.0,0.0015545602655038,0.0005580798024311,0.0003811667265836,False
we were at this all white catholic school,0.22986074,0.0,0.0,0.0,0.0412755347788333,0.0837862193584442,0.0526293441653251,False
