text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, uh, mary",0.0129808,0.0,0.0,0.0,0.000892135198228,0.0007236979436129,0.0003578399773687,False
"yeah, dj",0.04543531,0.0,0.0,0.0,0.0008870878373272,0.0006201625219546,0.0006343521527014,False
mary,0.010967735,0.0,0.0,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"you already know what it is, man, dj to the world, taking over the world",0.11085691,0.0,0.0,0.0,0.0015061873709782,0.0023030578158795,0.004298998042941,False
"yeah, that's fine",0.02637897,0.0,0.0,0.0,0.0007368592196144,0.0003647924168035,0.0006314137717708,False
"um, most days i'm a mexican, but uh no, i'm a african american twentyseven years old",0.13146462,0.5786932706832886,0.0,0.0,0.0152858989313244,0.032745610922575,0.0041506090201437,False
"decatur, ga, yes, sir",0.02929751,0.0,0.0,0.0,0.0008121680584736,0.0005843086983077,0.0005777907208539,False
i have,0.024318827,0.0,0.0,0.0,0.0008579267887398,0.0003512880066409,0.0004848058451898,False
"how was it growing up in middle school? um, i went to mission san josé high school middle school, u",0.0334178,0.9719522595405579,0.0,0.0,0.0009702441166155,0.0006020857836119,0.0005199078586883,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0034721060656011,0.0014047900913283,False
"uh, i would say you know life in there was was cool as a african american male",0.25219622,0.7081936597824097,0.0,0.0,0.0035207609180361,0.0236752480268478,0.0126300081610679,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
i'd say it was more not tailored towards,0.045778666,0.9995588660240173,0.0,0.0,0.0007510922732762,0.0004371918330434,0.000983987818472,False
uh,0.02124131,0.6595472097396851,0.0,0.0,0.0012679392239078,0.0007949224091134,0.0007840975304134,False
i wish education just in schoolwise would've been a little more,0.055732824,0.6802111864089966,0.0,0.0,0.0006405528984032,0.0009414002415724,0.0003989500401075,False
