text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text my birthday's april nineteenth, washington, dc",0.02054715,0.9962800145149231,0.0,0.0,0.0007395405555143,0.0004836397420149,0.000213774794247,False
"um, well, it's kind of, i'm moving right now, so i don't really claim a neighborhood",0.045091953,0.9957091808319092,0.0,0.0,0.0006859768764115,0.0004504449898377,0.0004182935517746,False
"but if i before i lived on east capitol right now, i'm living with my grandma on suitland, maryland",0.045091953,0.0,0.0,0.0,0.0008033625781536,0.0008162468438968,0.0004311859083827,False
"in in suitland, maryland, i'm moving to um",0.060927194,0.0,0.0,0.0,0.0006476620910689,0.0005978477420285,0.0005100315902382,False
"clinton, md",0.022351967,0.5803724527359009,0.0,0.0,0.0007683877483941,0.0008834591135382,0.0023022822570055,False
"i go to mission san josé high school, but i'm on the middle school side, so i'm on the mission san josé high school side",0.025520578,0.0,0.0,0.0,0.0010464714141562,0.000407845218433,0.0002912139752879,False
k,0.025692256,0.0,0.0,0.0,0.0036563584581017,0.0025141357909888,0.0037349855992943,False
"yeah, mission san josé high school",0.015826859,0.0,0.0,0.0,0.0008152339723892,0.0004677498654928,0.0004016218881588,False
"no, i'm going to mission san josé high school",0.030842619,0.9662624001502991,0.0,0.0,0.0019463171483948,0.0005893096094951,0.0003822102735284,False
"um, my dad was born in massachusetts, but he wasn't there very long and my mom was born here in dc",0.055732824,0.0,0.065,0.0,0.0007576650823466,0.0008628416690044,0.0008857981301844,False
"my mom works in like, like, uh, managing money for people that own different houses and stuff, and my dad's an electrician",0.112144895,0.0,0.0,0.0,0.0056589958257973,0.0029750056564807,0.0021710756700485,False
my mom works in google headquarters,0.033761155,0.0,0.0,0.0,0.0090609779581427,0.0018253590678796,0.0012844842858612,False
"well, i lived in a an apartment",0.021380141,0.8614871501922607,0.0,0.0,0.0009182098438031,0.0003927675134036,0.0005628901417367,False
i didn't live in um,0.03221605,0.9604334235191345,0.0,0.0,0.0009621455683372,0.0006918701692484,0.0004463476652745,False
east capitol all my life,0.042001735,0.0,0.0,0.0,0.0010923023801296,0.000933444534894,0.0005070886109024,False
"i moved there when i was in first grade, so before that i lived on rdaddress4",0.02637897,0.0,0.0,0.0,0.0011491861660033,0.0004088590794708,0.0003858978452626,False
and i've been there since i was little,0.024833864,0.0,0.1875,0.0,0.0011032447218894,0.0004167730803601,0.0008202653843909,False
"my grandma lived there, my other grandma lived there, and we had like family members that lived there, and then i end up moving and, but i've been going to mission san josé high school all my life",0.026722329,0.0,0.0,0.0,0.0013370515080168,0.0004735747934319,0.0003026137128472,False
"so when i moved to east capitol, uh, mm, you know, i had to wait for a bunch of stuff when i first got there, had to set up my room",0.055732824,0.9438651204109192,0.0,0.0,0.0007824778440408,0.0006076784920878,0.0004916543839499,False
"i was actually sleeping in a sleeping bag until i got my bed and it had like this little small tv, but it was still my room",0.0825038,0.0,0.1458333333333333,0.0,0.0042422860860824,0.0013424110366031,0.0007788259536027,False
we ain't have well in my room,0.053335425,0.9998186230659485,0.0,0.232,0.0288841910660266,0.0092085609212517,0.0009638218325562,False
"we ain't have cable, so i used to watch a bunch of dvds and i played them every time and i end up liking them",0.048525527,0.0,0.0,0.0,0.001100925495848,0.0006703344988636,0.0029109045863151,False
"so like i like know all the words and stuff, and that was basically it, and when we got cable we end up getting a bigger tv in the living room, and a bunch of like different stuff",0.026207292,0.9423725008964539,0.0,0.0,0.0007628792664036,0.0004656485398299,0.000550975149963,False
i got a different dresser,0.08850401,0.9485720992088318,0.0,0.0,0.0020763019565492,0.0004748925566673,0.0008705150103196,False
"i got my room ended up getting filled with clothes and stuff, but the thing is i seem to not use my closet at all",0.09065199,0.9982516169548035,0.0,0.0,0.0064580077305436,0.0006608516559936,0.0008034988422878,False
i don't know why,0.015688026,0.9574185013771057,0.0,0.0,0.0012961092870682,0.0007117069908417,0.0003625767712946,False
"um, then i ended up",0.044405237,0.9945100545883179,0.0,0.0,0.0010406024521216,0.0004828584787901,0.0013588338624686,False
m,0.02517722,0.0,0.0,0.0,0.0017175219254568,0.001225012470968,0.0005475403158925,False
"i didn't go outside around there at first, cause you know it was like i'm still little, so i didn't start going outside really until i was like third grade probably, and then i only, i ain't went out",0.040628307,0.506146252155304,0.0,0.0,0.0012196730822324,0.0005602225428447,0.0003931475512217,False
"i didn't go outside that much then, so my brothers used to come over every other weekend, though other days they're with their mom, so every other weekend they come over with my dad and my mom and me, and those weekends was probably more of the weekends when i went outside like me and my brother and some fellow students from the club like mary and mary",0.035134587,0.0,0.0,0.0,0.0018704880494624,0.0011372729204595,0.0005661718314513,False
mary,0.010967735,0.0,0.0,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"those three siblings and then mary, miss mary, son, bunch of them live other there and we would all be outside together playing and stuff",0.050585672,0.0,0.0,0.061,0.0015467258635908,0.0012569088721647,0.0015393288340419,False
it was f,0.020408317,0.9935684204101562,0.0,0.0,0.0163414999842643,0.0696918591856956,0.0051252022385597,False
it was fun,0.03049926,0.0,0.0,0.0,0.0008471749024465,0.0003644842363428,0.0004340787418186,False
we'd like we run around,0.13879937,0.9969547986984253,0.0,0.0,0.0046097887679934,0.0808911994099617,0.0031166851986199,False
