text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text nineteen, uh, thirtynine, november the eleventh, uhhuh, yeah, i was born in princeville and um, most of my family lived here in this area",0.050242316,0.9983693957328796,0.0,0.0,0.0009676873451098,0.0003442730812821,0.000304654269712,False
"no, my maiden, uh family was the mary, and my grandmother lived right on the other road",0.020269485,0.946507453918457,0.0,0.0,0.0010174758499488,0.0005097353132441,0.0014303349889814,False
you know where the church is at the corner,0.07211506,0.7307857871055603,0.0,0.0,0.0014998054830357,0.0033372687175869,0.0011837262427434,False
her property was there all the way down to uh,0.015340946,0.5064340829849243,0.1555555555555555,0.0,0.0012785656144842,0.0005576198454946,0.0006494301487691,False
neville street,0.0142302895,0.0,0.0,0.0,0.0012941190507262,0.0005679716705344,0.0004327240749262,False
"she even almost gave the property to the church to be built there, and also pioneer court behind where the church is",0.02517722,0.0,0.4,0.0,0.0008413153118453,0.0012134157586842,0.0008812685264274,False
"she, uh, sold that to the town so they could build that area",0.020963646,0.5130009055137634,0.0,0.0,0.0010968036949634,0.0004039761261083,0.000769906444475,False
"yeah, she's one of the pioneers",0.054534122,0.0,0.0,0.0,0.0007257398683577,0.0005461369291879,0.001214329036884,False
"uhhuh, yeah, one of the apartments was named in her honor back there",0.046465382,0.0,0.0,0.0,0.0006483549950644,0.0004715760878752,0.0006096758879721,False
"mmhm, okay, my grandmother",0.036336336,0.9955553412437439,0.0,0.0,0.0062061985954642,0.0006887475028634,0.0017342583741992,False
"uh, years back, i remember, she had a store, a small store, which was in the parking lot area where the church is now, and uh, she was very well known with all the people in the community of all races, and they just loved her",0.030327583,0.0,0.0,0.0,0.0007042160141281,0.0009390357881784,0.0005580074503086,False
she was a very outspoken person,0.12244874,0.0,0.0,0.0,0.0011630440130829,0.000568195071537,0.0261065270751714,False
she didn't stand any mess,0.12309273,0.0,0.175,0.0,0.0185811500996351,0.0021768938750028,0.0022188818547874,False
"um years back, i remember, you know, like family reunion time, and especially every sunday, everybody would go over to granny's house and there we would celebrate and en enjoy each other, and this just wasn't the family and it was everybody in the community you know was involved",0.018464668,0.6960423588752747,0.0,0.0,0.0008382776868529,0.0004457982722669,0.000327293673763,False
"yes, yes, yes, the people in this area in the princeville area, uh, mrs",0.035134587,0.0,0.0,0.0,0.0005864355480298,0.0005458088126033,0.00067681906512,False
rdname2,0.009648831,0.8701786398887634,0.0,0.0,0.0008865360287018,0.0010292668594047,0.0002988309715874,False
"where you see the fish market in there, folk she? my grandmother, uh, my dad also had a garage and store which was located in the area where the cement is out there, and um",0.03187269,0.0,0.0,0.0,0.000789436744526,0.0006282867980189,0.005455118138343,False
"at that time they had the bridger's store, uh, which located over by the town hall, and um",0.009440582,0.0,0.0,0.0,0.0006742152618244,0.0004656047967728,0.0006142476922832,False
"these were the main shopping areas you know in princeville, r, right, right, right, and uh, years ago we had um, the beginning of the church, where the first stop light is before going over to the bypass",0.025692256,0.0,0.0,0.056,0.000691300665494,0.0009742029942572,0.0004619855608325,False
that was uh,0.028610796,0.9741247296333313,0.0,0.0,0.0009544643107801,0.0010753645328804,0.0007443260983563,False
where the um,0.049898956,0.9081979990005493,0.0,0.0,0.0015908358618617,0.001167501672171,0.0031157061457633,False
"ooh? it wasn't the shadow, but this man travel all around",0.0801064,0.5664470195770264,0.0,0.0,0.0016134844627231,0.0018510080408304,0.0076755983754992,False
"i think he came from some parts of detroit, and he would interview people and say um, i can't think of this man's name now, but um, he would tell you know different things about the people in the community and he, s",0.07011723,0.5031673908233643,0.0,0.0,0.0006190269486978,0.001238725380972,0.0015143883647397,False
"uh, uh, tell you to guess who it is",0.061726328,0.8656473755836487,0.0,0.0,0.0008303784998133,0.0006755476351827,0.0010436329757794,False
you know,0.043718524,0.0,0.0,0.0,0.0024898352567106,0.000538251013495,0.0007277476252056,False
"and by people being so close together, they would know exactly who he's talking about",0.058130227,0.0,0.0,0.0,0.0005864748964086,0.0004402808845043,0.0011731565464287,False
"so that was interesting, and even from there he went worldwide",0.03770977,0.0,0.0,0.0,0.0006423542508855,0.0003585396916605,0.0004036081081721,False
"there was um, some type of um movie on television and i cannot think of the exact, you know",0.06372416,0.996510922908783,0.0,0.0,0.0007692948565818,0.0005512682837434,0.0004487658152356,False
"um, yeah, the title of that, but it",0.02809576,0.9634901881217957,0.0,0.0,0.0007079893839545,0.0004437870520632,0.0011930946493521,False
it'll probably come to me as i talk,0.04131502,0.0,0.0,0.0,0.0007001627236604,0.0005962313152849,0.0025769791100174,False
"uhhuh, yeah, i can't",0.027237365,0.9647563695907593,0.0,0.0,0.0016005855286493,0.0033488045446574,0.0006614323356188,False
"i really, just can't think of the man's name now, but he's real popular and he's worldwide",0.042001735,0.0,0.0,0.0,0.000601973326411,0.0017727812519297,0.0025419765152037,False
"mmhm, yeah, yeah, years ago",0.020685982,0.9912495613098145,0.0,0.0,0.0007890610140748,0.0004263114824425,0.0003379340050742,False
"so it, um, also my neighbor that live across she was some of the first people that had a uh hat shop, but this wasn't in princeville, she lived in princeville, but it was on main street in tarboro, and her name is mary",0.038911518,0.0,0.0,0.0,0.0008101541316136,0.0005154894315637,0.0005027522565796,False
"she's very elderly now, but uh, my grandparent, mary, uh, mary, mary, and we, uh, as when we were young we were uh, laugh at granny's uh middle name, you know, and she came from uh, pitt county, mm, and my grandad uh was mary",0.049212243,0.0,0.0,0.0,0.0016121967928484,0.0011681742034852,0.0021824350114911,False
grandaddy came from beaufort county,0.032559406,0.0,0.0,0.0,0.0009871893562376,0.0007409520330838,0.0010243660071864,False
"it's not too far, maybe about a hundred miles",0.03427619,0.936408519744873,0.0,0.0,0.000647263135761,0.0004244392912369,0.0005275978473946,False
"would you say mary beaufort? mmhm, but um, and my, and now my mother was born in pitt county, also, but she was bred here and um in the edgecombe county area, and my dad came from um",0.037881445,0.9158042669296265,0.0,0.0,0.0009321598918177,0.000695735157933,0.0011769913835451,False
"halifax county, and uh, that's a old family, too, got a lot of relatives, but you know, as dad passed away, i lost touch in that side of the family, but the old ones still know they come by",0.039598234,0.0,0.0,0.072,0.0008761210483498,0.0004590962198562,0.0003265574923716,False
"you know, every once in a while mary, mary, and my mother was mary, w",0.024147147,0.0,0.0,0.0,0.0012067431816831,0.0015134217683225,0.0009837094694375,False
mary,0.010967735,0.0,0.0,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"mmhm, oh yeah, my dad said that when he was dating my mother, you know where the bridge is",0.15976663,0.9994072914123535,0.0,0.0,0.0022525661624968,0.0016133508179336,0.0086748581379652,False
"he said, uh, my mom would come and call mary and said, if she hear my grandmama call her so she would jump out of that car and come running so he could hear it all the way you know over there, and that's really amazing, isn't it? yes, yes, but um, there's a lot of things and growing up",0.10461388,0.0,0.0,0.051,0.0104390308260917,0.0011261312756687,0.0016946903197094,False
"uh, here in the princeville area there was different families which all have grown up, and most of 'em have moved away, but uh, we went uh, swimming one time down",0.04406188,0.7448943257331848,0.0,0.0,0.0006362524582073,0.000554458471015,0.0003534618590492,False
where the graveyard is,0.044748597,0.9579587578773499,0.0,0.423,0.0019821990281343,0.0004972341121174,0.0009063857141882,False
"they had a old sand pit down there with your water, clear water, and we would slip down there and go bathing",0.118584804,0.0,0.0277777777777777,0.0,0.0019305631285533,0.00272659631446,0.013684875331819,False
and the lady that lived across from the graveyard,0.030155903,0.0,0.0,0.216,0.001468174974434,0.0015767817385494,0.0043686721473932,False
"she called our parents time we got home, everybody got a good spanking and the whole community you could hear kids crying",0.27194336,0.0,0.0,0.119,0.0161321591585874,0.294632613658905,0.5471585988998413,False
you know it's it's really amazing how things like that happen and young people don't understand,0.07571117,0.0,0.0,0.0,0.0007528594578616,0.0005208984366618,0.0023691831156611,False
you know how close families were then,0.021657806,0.0,0.0,0.0,0.000731625710614,0.0004002335772383,0.0003595326270442,False
it's much different,0.031185975,0.9842483401298523,0.0,0.0,0.0007092637242749,0.0003517513396218,0.0005021047545596,False
now you know everybody's individual and they're not as close,0.03856816,0.9235287308692932,0.0,0.0,0.000933573464863,0.0006924110348336,0.0007891655550338,False
"yeah, yeah, uh, most of the kids all went to the same school in this area, and a matter of fact, where the town hall, the historical building",0.019852988,0.0,0.0,0.0,0.0006097427103668,0.0004091571317985,0.0003641897055786,False
that's where i went to school first through fourth grade,0.03616466,0.0,0.0,0.0,0.0010737491538748,0.0003995246952399,0.0003639033820945,False
"it was four rooms there, first, second, third and fourth, and my teachers",0.026207292,0.0,0.0,0.0,0.0006835287786088,0.0004328092618379,0.0002212486142525,False
"i remember all of them, and uh, my first grade teacher was mrs",0.023288755,0.0,0.0,0.0,0.0006490774685516,0.0007829783135093,0.0007986588170751,False
"mary, and my second uh grade teacher was mrs",0.023288755,0.0,0.0,0.0,0.0014866662677377,0.0013506629038602,0.0011659553274512,False
mary,0.010967735,0.0,0.0,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"the third grade was um, mrs",0.06652113,0.0,0.0,0.0,0.0011564553715288,0.0007161907269619,0.0010578038636595,False
"mary, mary, and um",0.009857078,0.0,0.0,0.0,0.0012877131812274,0.0007680301205255,0.0004576166102197,False
my fourth,0.028610796,0.0,0.0,0.0,0.0032578941900283,0.0007259812555275,0.0004901553620584,False
did i say third,0.024833864,0.9100789427757263,0.0,0.0,0.0010930841090157,0.0006660028011538,0.0005277650780044,False
my fourth grade teacher was mrs,0.039254878,0.0,0.0,0.0,0.0016163921682164,0.0016513733426108,0.001007119892165,False
"uh, rdname2, mmhm, yeah, miss mary, uhuh, mmmm, mary from the school",0.07970683,0.0,0.0,0.116,0.0015223128721117,0.0008324814843945,0.0007255223463289,False
"yeah, no, no, no, no, all of our my teachers are deceased",0.10892494,0.9801874756813049,0.0,0.0,0.0024596832226961,0.0068430388346314,0.0117755122482776,False
"now all of them mmhm, uhuh, yes, ooh",0.046122026,0.0,0.0,0.244,0.0046305311843752,0.0008201876771636,0.0015167306410148,False
it was very very close,0.051737156,0.0,0.0,0.0,0.0006180179771035,0.0003458216087892,0.0004340200102888,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"during that time, um, the school had only the main entrance, where you go in to the different rooms, and like when we had uh, overall seminar, uh, we would come into one big room",0.02397547,0.6328069567680359,0.0,0.0,0.0006470701191574,0.0004606577276717,0.0004768882645294,False
"all the kids had devotion in the morning, and after that we would split up and go to our different rooms, and this happened every day, you know, and the kids would do pledge of allegiance and all of this, and the little hall area where the town hall had at one time is where they would do snacks and stuff like this, and i'll never forget",0.018048171,0.0,0.09375,0.0,0.0007461946224793,0.0003890334337484,0.0003618624468799,False
"daddy, uh, got at me about walking the tom walkers, and he said, don't you get on the tom walkers? you don't do that",0.11665283,0.9914034008979797,0.0,0.0,0.0072460467927157,0.001641746261157,0.0015385227743536,False
"you can ride on the merry go round, but don't get on that tom walker, and the reason why he said that because kids would jump on your back while you up there and it make you fall down it",0.19141254,0.9696348905563354,0.1185185185185185,0.0,0.0858750343322753,0.004821537528187,0.005648426245898,False
"it's uh, made like a u, and it has the bars go where you walk like this",0.07730943,0.9986598491668701,0.0,0.0,0.0023491359315812,0.0020478765945881,0.0046794498339295,False
"uhhuh, monkey bars, monkey bars, uhhuh, tom walker, at that time and then um, he told me not to get on it, and at lunch time the kids that lived close by went home for lunch and they go back, and that day he remind me mary, don't you go on that tom walker",0.13835071,0.9999668598175049,0.0333333333333333,0.0,0.0265242382884025,0.0069464361295104,0.0011614032555371,False
"so i went back to school and when we had recess, it's the first thing i got on cause i was a daredevil and i got up there and somebody really jumped on my back",0.17380224,0.9604200124740601,0.0,0.0,0.043548084795475,0.0038994334172457,0.0111279925331473,False
"i just had a fit and uh, i can remember miss mary telling me, don't cry",0.12116077,0.9727475047111511,0.0,0.081,0.0570218153297901,0.0030608316883444,0.0029314975254237,False
your daddy's coming to get you,0.2712817,0.0,0.0,0.0,0.7945080399513245,0.0172846261411905,0.0263347178697586,False
take you to the hospital,0.08689302,0.9741787314414978,0.0,0.0,0.0950476676225662,0.0218593869358301,0.0113994190469384,False
"i tell her, no, no, no, i didn't want him to come",0.103539884,0.9987611770629883,0.0,0.1,0.0016265112208202,0.0063779442571103,0.0020476845093071,False
