text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text mary, february eighteenth, nineteen eightytwo valdosta, south georgia medical center, no, i lived uh, on the east side of valdosta, on rdaddress3, no mission san josé high school, mission san josé high school, hm",0.021518974,0.9999319314956665,0.0,0.061,0.0007153121987357,0.0004401316691655,0.000161931340699,False
educator,0.025692256,0.0,0.0,0.0,0.0007935162866488,0.0015740920789539,0.0009317549993284,False
"he was born in lakeland, georgia, about twenty miles east of valdosta",0.031357653,0.0,0.0,0.0,0.0009609748376533,0.0003940069291274,0.0003247487184125,False
she was born in valdosta as well,0.019297661,0.0,0.0,0.0,0.0008749802364036,0.0004421425692271,0.0005124640301801,False
"yeah, my dad is uh, retired from valdosta state university",0.027752401,0.0,0.0,0.0,0.0009068084764294,0.0010563924442976,0.0010020736372098,False
he's a fulltime pastor,0.04268845,0.0,0.0,0.0,0.0129414042457938,0.0063305776566267,0.0011789752170443,False
"he uh started out working as a a bus driver and a custodian, but he ended his career as one of the uh copy technicians in the print shop",0.026035614,0.8883796334266663,0.0,0.0,0.0024899265263229,0.0007539654616266,0.0006921045714989,False
"my mother, uh, retired after over thirtyfive years in um",0.023117077,0.0,0.0,0.0,0.0013078488409519,0.0012971102260053,0.0015089004300534,False
the school system for valdosta city schools,0.006212736,0.0,0.0,0.0,0.000779484573286,0.0004702550068031,0.0003574111033231,False
"she uh, s has taught uh, fifth grade and second grade",0.1250247,0.0,0.0,0.0,0.0012286695418879,0.0008680165628902,0.0006454336107708,False
"nah, she was second grade when she retired and she started fifth grade and did the last four or five years in second grade",0.024833864,0.9936229586601257,0.0,0.057,0.0020566345192492,0.0004547069256659,0.0004315516853239,False
"uh, yeah, yeah, cause you were",0.027237365,0.0,0.0,0.0,0.0454856157302856,0.0012333027552813,0.0039798403158783,False
"yeah, you were gone",0.13251819,0.0,0.0,0.0,0.0414578951895237,0.0091161867603659,0.0081339366734027,False
"well, my childhood home was uh, one",0.019297661,0.9047105312347412,0.0,0.0,0.0005992982187308,0.0006571884732693,0.0007433808059431,False
"that was um, very structured, uh, it was very loving",0.08501353,0.0,0.0,0.0,0.0005915611400268,0.0003613272856455,0.0021337291691452,False
"it was an anomaly, uh, uh, at the time because i had two parents in the home",0.11729682,0.568314790725708,0.0,0.0,0.000664097839035,0.0004612086922861,0.000462929776404,False
"um, of course, um, my my mom, my mom was in education, and um, my dad worked at vsu, so they both had stable jobs that may not have been well paying, but at the end of the day they were sufficient to, uh, you know, take care of my brother and myself",0.055732824,0.0,0.0,0.025,0.0012008773628622,0.0010527750710025,0.0009779959218576,False
i am,0.019575324,0.0,0.0,0.0,0.0018637132598087,0.0003920896269846,0.0004725135804619,False
it's three year difference,0.0186035,0.6902301907539368,0.0,0.0,0.0007474183803424,0.0004099962243344,0.0004048769187647,False
"uh, my neighborhood um changed over time",0.058130227,0.9882827401161194,0.0,0.0,0.0006449260399676,0.0005512877251021,0.0004639962862711,False
"uh, when i was very small, uh, the demographics of the neighborhood was mixed",0.0471521,0.9915820956230164,0.1625,0.0,0.0006110641988925,0.0005581082659773,0.0020376909524202,False
"uh, we had some um, african american families on the street",0.19239926,0.700560450553894,0.0,0.0,0.0008983667939901,0.0478031858801841,0.0263286903500556,False
we also had some caucasian families on the street,0.084745035,0.0,0.0,0.0,0.0034725463483482,0.0057432171888649,0.0036123676691204,False
"uh, it was very, you know, nice neighborhood",0.050242316,0.0,0.0,0.0,0.0006233294843696,0.0003709629527293,0.0006372783682309,False
"but over time as uh, different things began to change, um",0.020685982,0.0,0.0,0.0,0.0006080936291255,0.0003697896318044,0.0008357501938007,False
"some people moved out of the neighborhood, um",0.045091953,0.0,0.0,0.0,0.0008244900382123,0.0014778781915083,0.0015738755464553,False
"some of the older people in the neighborhood passed away, and it became uh, an area for um, drugs and sometimes violence",0.12888865,0.7421748042106628,0.0,0.163,0.0111301550641655,0.001952189952135,0.0079242698848247,False
"uh, so much so that the local bowling ally that was across the street from my house became the hangout spot for folks that wanted to do and deal drugs, so much so that the bowling ally went out of business",0.16551583,0.9993922710418701,0.0,0.0,0.0041143642738461,0.001872555585578,0.013157844543457,False
"yep, i think that most of it was because of the fact that i think that the the type of people who lived in the housing projects changed um, because uh, the people that lived in the housing projects when i, when we were growing up at first were people who were using uh, that valdosta housing authority to be a stepping stone to something else",0.040284947,0.989359974861145,0.0,0.0,0.0007753293029963,0.0003625413228292,0.0004192814230918,False
"then we started to get people who did not mind uh, living in low income housing and just settled into that lifestyle that is uh, very much",0.027752401,0.5842668414115906,0.0,0.075,0.0007143131806515,0.0005904951249249,0.0017956669908016,False
"uh can be stagnant if you choose not to do something different, and so as as the nature of people and things they wanted out of life changed, so did the neighborhood",0.076110736,0.9184263944625854,0.0,0.0,0.0009019257267937,0.0004301322915125,0.0004933260497637,False
"i will say that somewhere between nineteen ninetythree and nineteen ninetyfive, um, at the times, that was uh, pretty much um instrumental for me because that was the time that i was going from elementary to middle school, and um, a lot of things changed in valdosta in the early nineties because the uh population boomed so much so that uh, valdosta state college became valdosta state university and valdosta began to grow and they adopted the middle school concept, which changed a lot of things as well, because once they changed the concept of how uh schooling was done and how students were um separated, you started to see people become more comfortable in their lifestyles because they no longer had to mix to go to valdosta junior high school",0.124380715,0.0,0.0,0.016,0.0006378915277309,0.0003856701951008,0.0003763003624044,False
"we bi, basically had what i would consider to be a legal um",0.05773066,0.0,0.0,0.0,0.002727445680648,0.0004906962276436,0.0010952104348689,False
"segregation because when they built uh, jl, newbern middle school, they built it to serve the students, the children who lived on the east side and the south side of town, which was where ninetyeight percent of the african americans lived, and that was where the low where the socioeconomic status was lower",0.08420804,0.0,0.0,0.078,0.0022820809390395,0.0057993093505501,0.0027887909673154,False
and so people just settled in and took over the neighborhood,0.057331093,0.6842763423919678,0.0,0.0,0.0007133751059882,0.0005099307163618,0.0005497859092429,False
"well, i was able to go to mission san josé high school simply because uh, my mother worked in the school system, and at that time if you had um, a parent that worked in the school system, uh, you were able to uh, go to the school of your choice, and of course we lived on the east side of town and i should have gone to a different elementary school, but i went to the elementary school where my mother worked and i left there and went to um mission san josé high school, which at the time was fifth and sixth grade, which was the school that was fed by mission san josé high school, where i went to school, and i went from there to mission san josé high school",0.15743166,0.992552638053894,0.0,0.0,0.0009152605198323,0.0005387309356592,0.0005363950040191,False
so i just took the streamline of schools from the places where my mom worked rather than where i lived,0.04406188,0.9929206967353821,0.0,0.0,0.0011422008974477,0.0006892353994771,0.0008501422707922,False
"school was, um, it was fun and i, um",0.04818217,0.0,0.0,0.0,0.0007812521653249,0.0004938946804031,0.0009613873553462,False
"i, i liked school because it gave me an opportunity to um",0.039254878,0.0,0.0,0.0,0.0007653660140931,0.0006185568636283,0.0005169622018001,False
"like i said, escape, some of the things that were going on in my neighborhood",0.059728492,0.0,0.0,0.0,0.0006662735831923,0.0004574927152134,0.0006054671830497,False
"um, it were",0.02193547,0.7767874002456665,0.0,0.0,0.0009474313119426,0.0004536483902484,0.0013957222690805,False
"it was things that were occurring in my neighborhood that i could see, but because of uh, my parents, i didn't get a chance to become involved in it because they were",0.02655065,0.0,0.0,0.064,0.0005777640035375,0.0003620470815803,0.0005653764237649,False
"they were very much, uh, strict about uh, what we did and uh where we went, and i, i really think that it was uh, their oversight that really helped to you know, shape and mold me into the person that i became",0.07091636,0.0,0.0,0.0,0.0005824484978802,0.0003899371949955,0.0005560623831115,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"i, i, um, pretty much liked everything at school",0.03444787,0.0,0.0,0.0,0.0005972061771899,0.000418273411924,0.0006228805286809,False
"um, as far as uh memories, um, there was uh",0.02193547,0.9127213358879089,0.0,0.0,0.000631948641967,0.0004706406325567,0.0009572104900144,False
"at that time, you know it, we",0.023288755,0.0,0.0,0.0,0.0008018566295504,0.0004600694228429,0.0019437418086454,False
we had a lot of fun at school because you know we actually enjoy learning,0.03994159,0.0,0.0,0.0,0.0006783100543543,0.0004201384144835,0.0010183781851083,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"i, r",0.024833864,0.0,0.0,0.0,0.0026752024423331,0.0028865614440292,0.0006216478650458,False
"remember doing some things that, um, probably twentyfive thirty years ago that um would mirror some of the things that we do today",0.02929751,0.886788547039032,0.0,0.0,0.001069581718184,0.0003448497445788,0.0003833585069514,False
"um, we would have you know themed parties",0.07451247,0.7301336526870728,0.0,0.0,0.0005760805215686,0.0007188507006503,0.0008001617388799,False
"uh, when it was dr",0.02124131,0.9561967849731445,0.0,0.0,0.0006819752743467,0.0007583433180116,0.0006529484526254,False
"seuss's birthday, we did all of those things when we read green eggs and ham in kindergarten",0.028610796,0.0,0.2,0.0,0.0012427192414179,0.0004213434876874,0.000917560479138,False
we had green eggs and ham,0.048868883,0.0,0.2,0.0,0.001223632832989,0.0008892153855413,0.0023626438342034,False
when it was st,0.017909339,0.9839044809341431,0.0,0.0,0.0010889719706028,0.0012609607074409,0.0010484297527,False
"patricks day, we had the leprechaun to turn everything over in the room and i, it's just all types of things, and when we had birthdays in our classrooms, we had parties at school",0.13296685,0.0,0.0,0.0,0.0010790001833811,0.0007785243797115,0.0006433924427255,False
"we had a party for all of the holidays, and that's something now that we don't do because we have so many people that will say you know it's celebrating christmas offends me or celebrating halloween offends me, or i'm offended by this, or i don't think we should do that",0.10300289,0.9842230677604675,0.0,0.124,0.0010463149519637,0.0006263941177166,0.0021178750321269,False
school was a whole lot simpler and it was a lot of fun,0.0495556,0.0,0.0,0.0,0.0007615119684487,0.0003710236051119,0.0005474837380461,False
"mission san josé high school, uh was um",0.017701091,0.9899113774299622,0.0,0.0,0.000891406496521,0.0006681086379103,0.0014215343398973,False
it was more of the same,0.022074303,0.9969097971916199,0.0,0.0,0.0009213866433128,0.0003511509275995,0.0010106757981702,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
i had some very good teachers,0.037023053,0.0,0.0,0.0,0.0006398862460628,0.0005364717217162,0.0005748516414314,False
"um, had a uh",0.027409043,0.9397523403167725,0.0,0.0,0.0009156887535937,0.0006937690777704,0.0010350942611694,False
"a lot of people who really uh, were all about the students",0.03856816,0.7505950331687927,0.0,0.0,0.0006944652996025,0.0005062751006335,0.0016105850227177,False
they pushed everyone to,0.037881445,0.0,0.0,0.0,0.0018951089587062,0.0005338401533663,0.0054154763929545,False
"do, you know their very best, and that's not to say that any of the other schools did not do that, but uh, i can only speak about the schools that i attended and um, you know i",0.03461955,0.0,0.0,0.0,0.0005895874346606,0.0004159403906669,0.0005048168823122,False
i,0.018187003,0.0,0.0,0.0,0.0033499409910291,0.0007452693535014,0.0005561164580285,False
"i pretty had uh, a",0.038224805,0.0,0.0,0.0,0.0010264115408062,0.0008101479616016,0.0005485759465955,False
a very um,0.021032356,0.0,0.0,0.0,0.0021397664677351,0.0009282906539738,0.001088808523491,False
good time in elementary school,0.027752401,0.0,0.0,0.0,0.0008676795987412,0.0004323700850363,0.0004563585389405,False
"you know, up to sixth grade at uh mission san josé high school, um, we took field trips a lot of times that would allow us to not only learn about what we were learning in the classroom, but if there was somewhere in the community or somewhere close by that we could go on a field trip and actually do some hands on things",0.016729267,0.0,0.0,0.0,0.0006101955659687,0.0003858329146169,0.0004054153105244,False
"uh, we did those things a lot",0.040284947,0.0,0.0,0.0,0.0006480872398242,0.0003504547930788,0.0005123643786646,False
and so it's it's someth some things that you know are are memories that you know,0.026035614,0.6403750777244568,0.0,0.0,0.0021484738681465,0.0003990574914496,0.0016999446088448,False
"as long as i live, i'll probably never forget",0.03444787,0.0,0.0,0.0,0.0048884181305766,0.000542772875633,0.0004729387583211,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"i, i remember um in sixth grade, uh, learning about the medieval periods of uh time with the knights and jousting, and um different things like that, and i remember that one of our trips was to orlando, to medieval times, so that we could m, uh, see uh, a dinner show",0.039598234,0.0,0.0,0.0,0.000685017555952,0.00076516502304,0.0008561934810131,False
"oh man, i remember going, and that was the one of the first times that i've ever had um, cornish hen, and i just thought that was the best thing in the world, because i, you know, i came home and told my mom i had uh, a chicken that was that would fit in my hand, and i, i didn't know",0.12953265,0.6686423420906067,0.0,0.0,0.0106724593788385,0.0017817170592024,0.0130216674879193,False
"y, really the difference between a cornish hen and a chicken, and uh, i still don't cause they taste the same",0.2712817,0.7014592289924622,0.1333333333333333,0.0,0.0066276313737034,0.003189408686012,0.002006952650845,False
"no, i",0.015757442,0.9786828756332397,0.0,0.0,0.0018249604618176,0.0006457944982685,0.0005926890298724,False
"i haven't haven't had cornish hen since then, but i, i mean, you know if i was offered some cornish hen, i probably would take it",0.13745339,0.0,0.3125,0.0,0.0025486822705715,0.0023060971871018,0.0009214564342983,False
"yes, well it, it wasn't new",0.023288755,0.9973758459091187,0.0,0.0,0.0008385385153815,0.0003984958457294,0.0003741157706826,False
"uh, because you know w",0.022945397,0.0,0.0,0.0,0.0011778044281527,0.0012273285537958,0.0050857518799602,False
w,0.022351967,0.0,0.0,0.0,0.0012372832279652,0.0044690929353237,0.0005613963585346,False
"they just changed the name from mission san josé high school to mission san josé high school and it wasn't any different for me because i, i was going",0.020685982,0.9039999842643738,0.0,0.0,0.0007717726402916,0.0004108357825316,0.0004044221132062,False
i was going there anyway,0.028610796,0.0,0.0,0.0,0.0008272305130958,0.0004814897547475,0.0004158848896622,False
if they had not changed um to the middle school concept because they changed to middle school as i was going to seventh grade,0.05493369,0.993883490562439,0.0,0.0,0.0009075496927835,0.0004053847806062,0.000351680413587,False
"so what actually happened is that the fifth and sixth grade classes at mission san josé high school all left and they got two totally new groups that next year, so uh, it wasn't that much of a change for me",0.043375164,0.9999911785125732,0.0,0.0,0.0007490023272112,0.0003879118885379,0.0003956374130211,False
"it was somewhat of a change because you went from having two academic teachers to having four and having some freedom to walk down the hallway by yourself and pass notes and get notes and do all types of things that other people did that i didn't do, and that's exactly how that goes",0.02792408,0.0,0.0076388888888888,0.0,0.0018350300379097,0.0004353022086434,0.0004030571435578,False
my fondest memory in middle school,0.023460433,0.0,0.0,0.0,0.0007765393820591,0.0005941848503425,0.0004885088419541,False
let me let me think middle school,0.028439116,0.761880099773407,0.0,0.0,0.0020513827912509,0.0007869112305343,0.0005809482536278,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"i, i think that middle school was the the best thing about middle school was, um",0.032559406,0.0,0.0,0.0,0.0007849145913496,0.0004959645448252,0.0009181288187392,False
probably getting to meet um,0.045091953,0.0,0.0,0.0,0.0009807298192754,0.0006393160438165,0.0003035875270143,False
a lot of people that i wouldn't,0.031014297,0.6620760560035706,0.0,0.0,0.0008691408438608,0.0043644891120493,0.000976045790594,False
"that that i hadn't met before, because going to excuse me, going to um, middle school from elementary, brought a lot of people from the other elementary schools to um mission san josé high school at the same time",0.03187269,0.0,0.0,0.0,0.0007049210253171,0.0004111833404749,0.0005496973753906,False
"so it was a change because i was accustomed to the other children that i had gone to school with from kindergarten, but when we started seventh grade, not only did i have those, i had many more, and so uh, most of the time, um",0.09978092,0.0,0.0,0.0,0.0007387389196082,0.0004472139698918,0.0002775301400106,False
"most of my fondest memories probably happened in the gym, where uh, a lot of um",0.064523295,0.0,0.0,0.0,0.0006287150899879,0.0006416619289666,0.0006825500749982,False
"basketball games or when we were outside, baseball games got rather intense and so we, we always looked forward to going to pe",0.036679696,0.0,0.0,0.0,0.0008133146911859,0.0004336354031693,0.0006309024174697,False
"and you know, sometimes on m, on my way to pe, i would run into people that i wouldn't see uh during the day, and that was uh, time to socialize, because there were no teachers walking you everywhere, so ther, that was social time, and i think that's probably what my fondest memory of middle school was was that we had so much time to be social",0.11665283,0.0,0.0,0.032,0.0016763422172516,0.000524426868651,0.0004175726207904,False
i did not,0.017423427,0.9938271641731262,0.0,0.0,0.0013577046338468,0.0004057607729919,0.0003067287034355,False
"i sang uh in in the chorus, and uh, that was pretty much it",0.09333697,0.0,0.0,0.0,0.0006694330950267,0.0004150264721829,0.0008715877193026,False
"because i, i really wasn't um",0.032559406,0.999398946762085,0.0,0.0,0.0009066249476745,0.0008803293458186,0.000763407559134,False
i wasn't really into sports,0.02054715,0.9997335076332092,0.0,0.0,0.0010840916074812,0.0006201240466907,0.0004673683724831,False
"uh, i did, um, liked to play basketball, but i didn't have the time or the interest in commuting to playing basketball on the team",0.037194733,0.9896056652069092,0.0,0.0,0.0008315238519571,0.0004428799438755,0.0012182837817817,False
i just liked to play um m pickup games and so i was never one of those people that just needed to be on the team,0.08501353,0.0,0.0,0.0,0.0009362984565086,0.0004994588671252,0.0005575374816544,False
"but i, i enjoyed playing basketball and softball, too",0.029640866,0.0,0.0,0.0,0.0007633737986907,0.0008763147634454,0.0007319862488657,False
i think we met,0.03204437,0.0,0.0,0.0,0.0006323037669062,0.0003770465555135,0.0009298278600908,False
"well, we met at mission san josé high school and i, w would venture to say that i think it was the year that i was in eighth grade and you were in seventh and uh",0.065721996,0.0,0.0,0.0,0.0010961132356896,0.0004540676018223,0.0007351873209699,False
i think that's h,0.08447654,0.0,0.0,0.0,0.0010036888998001,0.0024743997491896,0.0010451369453221,False
"that's how we uh ran into each other, uh, through a mutual friend",0.07211506,0.9483861327171326,0.125,0.0,0.0006163550424389,0.0005385787226259,0.0016831083921715,False
i don't think so,0.01596569,0.994843602180481,0.0,0.0,0.0007618389208801,0.0025207083672285,0.0004028936673421,False
"high school was a probably about a hundred times more social because again, uh, i had spent two years at mission san josé high school and got to know a whole lot of new people",0.034962907,0.0,0.0,0.0,0.0006573503487743,0.000386449159123,0.000397413095925,False
"but when we went to high school, i met everybody else that that i would ever come to know because the students who went to uh southeast when i was at mission san josé high school and went to mission san josé high school while i was at mission san josé high school, they showed up on the first day of ninth grade at mission san josé high school and it was just great",0.027752401,0.0,0.0,0.0,0.0006217672489583,0.00041513031465,0.0002847703290171,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"the classes were uh, challenging, uh, more so than they had ever been",0.064523295,0.8425798416137695,0.0,0.0,0.0009733198676258,0.0004410552792251,0.0010507375700399,False
but i think that um,0.032387726,0.0,0.0,0.0,0.0008084587170742,0.0004110908485017,0.0004003154172096,False
"as far as high school went it, at least my freshman year was",0.0471521,0.8111903667449951,0.0133333333333333,0.0,0.0008873849874362,0.0004797611909452,0.000560943793971,False
uh,0.02124131,0.6595472097396851,0.0,0.0,0.0012679392239078,0.0007949224091134,0.0007840975304134,False
it was,0.020130653,0.5452705025672913,0.0,0.0,0.0022854036651551,0.0005957576213404,0.0006663513486273,False
"it was fun and i, i think that uh, a lot of the memories that i had from ninth grade uh wa was because of the fact that many of us um just sought to make the best out of a somewhat bad situation because we had some personnel issues that were not that did not involve the students, but the disagreements uh, had a profound effect on the students and that's something that uh",0.03994159,0.0,0.0,0.071,0.0006104296771809,0.0003661941445898,0.0004229517362546,False
i,0.018187003,0.0,0.0,0.0,0.0033499409910291,0.0007452693535014,0.0005561164580285,False
"i've learned uh from that day to this one that when adults have issues that they should resolve their issues and don't let their issues become issues for uh, the students that they serve, no, um",0.0334178,0.9549226760864258,0.0,0.0,0.0007000609766691,0.0008571469224989,0.0004717343545053,False
"it was the superintendent and the high school principal yup, yes, mr",0.02054715,0.0,0.0,0.0,0.0007179623353295,0.0005330235580913,0.0006220804643817,False
"mary, he was he, wa, he was there my ninth grade year and it was s something that",0.08796701,0.0,0.0,0.0,0.0053141405805945,0.0008639720035716,0.0005899036186747,False
"or what? what? what ended up being the quote, unquote issue was something that had to do with dress code",0.051737156,0.9992433786392212,0.0,0.0,0.0010300271678715,0.0004238608817104,0.0005912796477787,False
"a disagreement that became public between he and the superintendent at the time, um",0.02193547,0.9941376447677612,0.0,0.161,0.0006390525377355,0.0003347674792166,0.0008575095562264,False
"mary, who, at last of my knowledge, was um",0.028267438,0.987885594367981,0.0,0.0,0.0025000814348459,0.0006261509261094,0.0010486346436664,False
"he was a, he's in charge of the google commission, so he uh, oversees all of the certifications for uh, educators",0.02637897,0.0,0.0,0.0,0.0007859088946133,0.0004572858742903,0.0016849457751959,False
"uh at this time, but at that time he was uh in valdosta and he brought some changes",0.036679696,0.0,0.0,0.0,0.0006251438171602,0.000425473699579,0.0005022995756007,False
"uh, that were that he thought was innovative and they may have been, but um",0.06612156,0.9702194929122925,0.0,0.0,0.0006128115346655,0.0003846028994303,0.0004608593008015,False
a lot of his uh policies were not popular with the uh administration and the staff at mission san josé high school and the students were in between,0.013466713,0.9996919631958008,0.0699999999999999,0.08,0.0007723803282715,0.0004498545604292,0.0004988657892681,False
my favorite subject in high school was probably um history,0.022351967,0.0,0.0,0.0,0.0008071701158769,0.0004730758082587,0.0003196305187884,False
"uh, i ran into my um world history teacher about a month ago and everything that he ever taught me",0.047495455,0.9004928469657898,0.0,0.0,0.0007624021964147,0.0007234042277559,0.0004666096065193,False
"i, i never forgot, and he was probably my favorite teacher in high school, mr",0.027065687,0.0,0.0,0.0,0.0006957603618502,0.0009965188801288,0.000685931823682,False
mary,0.010967735,0.0,0.0,0.0,0.0322407037019729,0.000819110951852,0.0008334260201081,False
"yeah, he ga",0.14418322,0.0,0.0,0.0,0.0069017722271382,0.0010956586338579,0.0026198530104011,False
"he gave me candy every week and the, but that was not why he was my favorite teacher",0.112144895,0.0,0.0,0.0,0.0010898379841819,0.0005345242097973,0.0003748091985471,False
"uh, i vividly remember",0.029984225,0.0,0.0,0.0,0.0006345831206999,0.0004322518070694,0.0003483275067992,False
