text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, okay, so i didn't have to drive twenty five miles for a date",0.025520578,0.9860743880271912,0.0,0.0,0.003070160979405,0.0004691343056038,0.00039937053225,False
"so um, my my memory of um, u street, and some of the areas there i was a teenager and um just starting to g gain my independence",0.10634898,0.9349570870399475,0.0,0.0,0.0014500948600471,0.0006673301104456,0.0004000329354312,False
"i, d",0.034791227,0.0,0.0,0.0,0.0028937319293618,0.0010423606727272,0.0005766829126514,False
"g, got my driver's license and got to drive the family car and got to go out and and do some things",0.05613239,0.0,0.0,0.0,0.0046152579598128,0.0005323693039827,0.0007496546022593,False
"and so there were there were great s places that were just fun, um, lively and safe, um, so you could go to um",0.08796701,0.0,0.0,0.0,0.0007503554224967,0.0004209213657304,0.0008150385692715,False
u street,0.023632111,0.8028172254562378,0.0,0.0,0.0550620034337043,0.0007944676908664,0.0004982724203728,False
and there were there were three,0.016798683,0.7658618092536926,0.0,0.0,0.0008017069194465,0.000403561949497,0.0004757574934046,False
i don't i know,0.018048171,0.9673230648040771,0.0,0.0,0.0013399854069575,0.0015192616265267,0.0004567288851831,False
there was the republic,0.02262963,0.0,0.0,0.0,0.0009533019619993,0.0004664077132474,0.0003005985927302,False
there was a howard theater down well before they had great shows til they closed,0.05493369,0.9608249664306641,0.0,0.0,0.0020950911566615,0.0003772690834011,0.0004481109208427,False
and i think they closed around the time of the riots,0.045778666,0.9580073952674866,0.1,0.248,0.0007587741711176,0.0022274546790868,0.0044083800166845,False
"um, you had the republic theater and then there was",0.052935857,0.984611451625824,0.0,0.0,0.0008544912561774,0.000400643737521,0.0009297388023696,False
there was one or two more along u street,0.025692256,0.9697204232215881,0.0,0.0,0.0011007640277966,0.000451092782896,0.0003216268960386,False
so you know you wanna go to the movies? there were g,0.048525527,0.0,0.0,0.0,0.00569135742262,0.0037482061889022,0.0102206105366349,False
great fun theater,0.04783881,0.0,0.0,0.0,0.0009079354349523,0.0004107790300622,0.0005398162757046,False
"nice, nice, very nice theaters to to go to to see the movies",0.038911518,0.0,0.0,0.0,0.0007783492910675,0.0003960908506996,0.0005356028559617,False
there were restaurants along that area,0.014993866,0.0,0.0,0.0,0.000632444221992,0.0003879374125972,0.0002969825873151,False
you had,0.04783881,0.0,0.0,0.0,0.0050066178664565,0.0004342322936281,0.0019436134025454,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
you had a jazz club on u street,0.1019289,0.7046203017234802,0.0,0.0,0.001591881387867,0.000655663490761,0.0013328157365322,False
"um, and there were other th",0.02517722,0.9170274138450623,0.125,0.0,0.0024363154079765,0.0041716150008141,0.0007245912565849,False
"there are other things going on, but i didn't",0.024147147,0.983302891254425,0.125,0.0,0.0006575282895937,0.0004029471019748,0.0004084222018718,False
i was too young,0.038911518,0.9596466422080994,0.0,0.0,0.0020193320233374,0.0005465843132697,0.0018041982548311,False
"just kind of know all about them and too young, probably to be in some of them",0.050585672,0.0,0.0,0.0,0.0006809855112805,0.0005328173283487,0.0017646561609581,False
"uh, but um, i just remembered being very lively, um, very entertaining and a lot of a lot of fun",0.076110736,0.0,0.0,0.0,0.0006547284428961,0.0003425003960728,0.0006368912872858,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
it was also about the time that w,0.022945397,0.867704451084137,0.0,0.0,0.0008666677167639,0.0011046403087675,0.0007673351792618,False
more of a more people were venturing uh to georgetown,0.024833864,0.9507262706756592,0.0,0.0,0.0021151870023459,0.0010497680632397,0.0008979098638519,False
"so um, you had the um",0.15159425,0.9215623736381531,0.0,0.0,0.0091009167954325,0.0014261016622185,0.0010787021601572,False
"the cellar door over in georgetown, i remember, which was a great jazz spot",0.026722329,0.9753808379173279,0.0,0.0,0.0005560946883633,0.0003662926028482,0.000419601885369,False
um,0.012811388,0.0,0.0,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
